"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","221","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4170","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","10165","0.0-2.0","5992.5","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","45590","0.0-4.0","35422.5","","","[{""page_index"":0,""viewing_time"":1915.8000000044703},{""page_index"":1,""viewing_time"":1733},{""page_index"":2,""viewing_time"":31773}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","49970","0.0-5.0-0.0","","","","","[0,1]","1","1","1635.7000000029802","1","1","[2,3]","1","3","720.6000000014901","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","1","[0.44,0.385,0.62,0.421]","1","0","false","","",""
"","","","","","two-step-trial","5","53593","0.0-6.0-0.0","","","","","[0,1]","1","1","804.5","1","1","[2,3]","0","2","797","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","2","[0.427,0.383,0.623,0.388]","1","0","false","","",""
"","","","","","two-step-trial","6","58031","0.0-7.0-0.0","","","","","[0,1]","1","1","734.6000000014901","0","0","[0,1]","1","1","1688.2000000029802","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","3","[0.366,0.399,0.638,0.394]","1","0","false","","",""
"","","","","","two-step-trial","7","62518","0.0-8.0-0.0","","","","","[0,1]","0","0","391.8999999985099","1","0","[0,1]","0","0","2075","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","4","[0.352,0.371,0.644,0.424]","1","0","false","","",""
"","","","","","two-step-trial","8","65799","0.0-9.0-0.0","","","","","[0,1]","1","1","780.5","1","1","[2,3]","1","3","480.3999999985099","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","5","[0.387,0.418,0.671,0.445]","1","0","false","","",""
"","","","","","two-step-trial","9","70865","0.0-10.0-0.0","","","","","[0,1]","1","1","2564.7999999970198","1","1","[2,3]","0","2","482.29999999701977","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","6","[0.376,0.44,0.655,0.477]","1","0","false","","",""
"","","","","","two-step-trial","10","74289","0.0-11.0-0.0","","","","","[0,1]","0","0","993.8000000044703","1","0","[0,1]","0","0","411.5","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","7","[0.376,0.46,0.674,0.453]","1","0","false","","",""
"","","","","","two-step-trial","11","78113","0.0-12.0-0.0","","","","","[0,1]","1","1","661","0","0","[0,1]","0","0","1139.8999999985099","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1440,900]","1","8","[0.37,0.476,0.645,0.47]","1","0","false","","",""
