"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","79","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11767","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","19366","0.0-2.0","7597","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","72349","0.0-3.0-0.0-1.0","52981.89999997616","","","[{""page_index"":0,""viewing_time"":10430.899999976158},{""page_index"":1,""viewing_time"":3235.100000023842},{""page_index"":2,""viewing_time"":1473.8999999761581},{""page_index"":3,""viewing_time"":5685},{""page_index"":4,""viewing_time"":14174.799999952316},{""page_index"":5,""viewing_time"":1458.7000000476837},{""page_index"":6,""viewing_time"":1034.1999999284744},{""page_index"":7,""viewing_time"":1857},{""page_index"":8,""viewing_time"":7218.800000071526},{""page_index"":9,""viewing_time"":2696.600000023842},{""page_index"":10,""viewing_time"":3716.5}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","146172","0.0-3.0-0.0-2.0","73821.29999995232","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","163067","0.0-3.0-1.0-0.0-0.0","16891.800000071526","","","[{""page_index"":0,""viewing_time"":16891.600000023842}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","167013","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","1739.1000000238419","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","170225","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","999.3999999761581","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","173817","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","1378.6000000238419","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","176838","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","0","0","807.5","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","179994","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","944.1999999284744","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","182897","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","689.6999999284744","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","189626","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","1","1","4515.200000047684","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","13","240754","0.0-3.0-2.0-1.0","51125.89999997616","","","[{""page_index"":0,""viewing_time"":29012.399999976158},{""page_index"":1,""viewing_time"":3921},{""page_index"":2,""viewing_time"":4654.100000023842},{""page_index"":3,""viewing_time"":9834.700000047684},{""page_index"":4,""viewing_time"":2247.6999999284744},{""page_index"":5,""viewing_time"":1455.8000000715256}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","14","261444","0.0-3.0-2.0-2.0","20689","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","15","277921","0.0-3.0-3.0-0.0","16473.599999904633","","","[{""page_index"":0,""viewing_time"":8462.099999904633},{""page_index"":1,""viewing_time"":2901.600000023842},{""page_index"":2,""viewing_time"":5109.5}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","16","284462","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[2,3]","0","2","1661.8999999761581","0","[1440,900]","1","[0,1]","0","0","2874.100000023842","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","17","294652","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[0,1]","0","0","6077.299999952316","0","[1440,900]","1","[0,1]","0","0","2103","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","18","300866","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[0,1]","1","1","1134.3999999761581","0","[1440,900]","1","[0,1]","0","0","3071.8000000715256","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","19","307208","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[0,1]","0","0","694.7999999523163","1","[1440,900]","1","[0,1]","0","0","3638.399999976158","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","20","314398","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[2,3]","1","3","2000.0999999046326","0","[1440,900]","1","[0,1]","1","1","3182.6999999284744","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","21","321494","0.0-3.0-3.0-1.0-0.5","","","","","","","","","[2,3]","0","2","2224.399999976158","0","[1440,900]","1","[0,1]","1","1","2865.1999999284744","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","22","325583","0.0-3.0-3.0-1.0-0.6","","","","","","","","","[2,3]","1","3","746","1","[1440,900]","1","[0,1]","1","1","1335.6000000238419","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","23","330653","0.0-3.0-3.0-1.0-0.7","","","","","","","","","[0,1]","0","0","2078.899999976158","0","[1440,900]","1","[0,1]","1","1","981.2999999523163","0","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","24","335790","0.0-3.0-3.0-1.0-0.8","","","","","","","","","[0,1]","0","0","1842.0999999046326","1","[1440,900]","1","[0,1]","0","0","1286.5","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","25","339648","0.0-3.0-3.0-1.0-0.9","","","","","","","","","[0,1]","0","0","1170.1000000238419","1","[1440,900]","1","[0,1]","0","0","675.7999999523163","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-instructions","26","381040","0.0-3.0-4.0-1.0","41390.200000047684","","","[{""page_index"":0,""viewing_time"":4195.700000047684},{""page_index"":1,""viewing_time"":17423.699999928474},{""page_index"":2,""viewing_time"":1000.6000000238419},{""page_index"":3,""viewing_time"":1290.5},{""page_index"":4,""viewing_time"":6523.399999976158},{""page_index"":5,""viewing_time"":8135.899999976158},{""page_index"":6,""viewing_time"":2820.2000000476837}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","27","390299","0.0-3.0-4.0-2.0","9257.100000023842","","","","[""True"",""False"",""True""]","0","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","28","397332","0.0-4.0","7030.800000071526","","","[{""page_index"":0,""viewing_time"":1709.3999999761581},{""page_index"":1,""viewing_time"":3270},{""page_index"":2,""viewing_time"":2051.100000023842}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","29","404528","0.0-5.0-0.0","","","","","","","","","[2,3]","0","2","2495.1999999284744","0","[1440,900]","1","[0,1]","0","0","2689.1999999284744","0","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","1","false","[0.412,0.317,0.453,0.743]","2","0",""
"","","","","","two-step-trial","30","408048","0.0-6.0-0.0","","","","","","","","","[0,1]","0","0","1035.8999999761581","1","[1440,900]","1","[0,1]","0","0","473.8000000715256","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","2","false","[0.402,0.305,0.461,0.702]","2","0",""
"","","","","","two-step-trial","31","411567","0.0-7.0-0.0","","","","","","","","","[0,1]","0","0","574.2000000476837","0","[1440,900]","1","[0,1]","0","0","934.5","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","3","false","[0.373,0.327,0.445,0.732]","2","0",""
