"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","67","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2784","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","5384","0.0-2.0","2598.0999999046326","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","9133","0.0-4.0","3747.6999999284744","","","[{""page_index"":0,""viewing_time"":1654},{""page_index"":1,""viewing_time"":1196.6999999284744},{""page_index"":2,""viewing_time"":896.5}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","12926","0.0-5.0-0.0","","","","","[0,1]","0","0","917.5","0","1","[2,3]","0","2","866.5999999046326","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","1","[0.44,0.385,0.62,0.421]","1","0","false","","",""
"","","","","","two-step-trial","5","16229","0.0-6.0-0.0","","","","","[0,1]","0","0","388.60000002384186","1","0","[0,1]","0","0","904.3999999761581","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","2","[0.427,0.383,0.623,0.388]","1","0","false","","",""
"","","","","","two-step-trial","6","19599","0.0-7.0-0.0","","","","","[0,1]","0","0","617.3000000715256","1","0","[0,1]","0","0","745.2000000476837","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","3","[0.366,0.399,0.638,0.394]","1","0","false","","",""
"","","","","","two-step-trial","7","22251","0.0-8.0-0.0","","","","","[0,1]","0","0","228.20000004768372","1","0","[0,1]","1","1","415.39999997615814","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","4","[0.352,0.371,0.644,0.424]","1","0","false","","",""
"","","","","","two-step-trial","8","24941","0.0-9.0-0.0","","","","","[0,1]","0","0","339.60000002384186","1","0","[0,1]","0","0","344.39999997615814","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","5","[0.387,0.418,0.671,0.445]","1","0","false","","",""
"","","","","","two-step-trial","9","27407","0.0-10.0-0.0","","","","","[0,1]","0","0","196.20000004768372","1","0","[0,1]","1","1","262.10000002384186","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","6","[0.376,0.44,0.655,0.477]","1","0","false","","",""
