"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","205","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2911","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","17233","0.0-2.0","14318","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","107308","0.0-3.0-0.0-1.0","90067","","","[{""page_index"":0,""viewing_time"":13382},{""page_index"":1,""viewing_time"":6233},{""page_index"":2,""viewing_time"":10288},{""page_index"":3,""viewing_time"":18507},{""page_index"":4,""viewing_time"":8033},{""page_index"":5,""viewing_time"":3102},{""page_index"":6,""viewing_time"":1545},{""page_index"":7,""viewing_time"":7512},{""page_index"":8,""viewing_time"":7056},{""page_index"":9,""viewing_time"":10249},{""page_index"":10,""viewing_time"":4159}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","135509","0.0-3.0-0.0-2.0","28196","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","181782","0.0-3.0-1.0-0.0-0.0","46266","","","[{""page_index"":0,""viewing_time"":46266}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","185375","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","1387","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","188134","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","0","0","556","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","191167","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","830","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","193814","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","443","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","196688","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","668","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","199415","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","0","0","523","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","202072","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","0","0","453","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","13","206040","0.0-3.0-1.0-8.0-0.0","","","","","","","","","[0,1]","1","1","1764","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","14","209264","0.0-3.0-1.0-9.0-0.0","","","","","","","","","[0,1]","0","0","1019","0","[1280,720]","1","","","","","","","","","","","","","",""
