"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","151","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3209","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8222","0.0-2.0","5012.5999999940395","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","64877","0.0-3.0-0.0-1.0","56655.59999999404","","","[{""page_index"":0,""viewing_time"":4236.5999999940395},{""page_index"":1,""viewing_time"":3728.9000000059605},{""page_index"":2,""viewing_time"":3481.5999999940395},{""page_index"":3,""viewing_time"":4728.70000000298},{""page_index"":4,""viewing_time"":8567.5},{""page_index"":3,""viewing_time"":278.5},{""page_index"":2,""viewing_time"":1723.9000000059605},{""page_index"":3,""viewing_time"":228.79999999701977},{""page_index"":4,""viewing_time"":1060.8999999910593},{""page_index"":5,""viewing_time"":2688.7000000029802},{""page_index"":6,""viewing_time"":1249.5},{""page_index"":7,""viewing_time"":7024.29999999702},{""page_index"":8,""viewing_time"":4227.20000000298},{""page_index"":9,""viewing_time"":8731.40000000596},{""page_index"":10,""viewing_time"":4697.399999991059}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","80239","0.0-3.0-0.0-2.0","15361.300000011921","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","91506","0.0-3.0-1.0-0.0-0.0","11257.5","","","[{""page_index"":0,""viewing_time"":11257.29999999702}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","97831","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","4114.70000000298","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","102119","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","2078.6000000089407","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","105143","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","820.8000000119209","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","108888","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","1537.0999999940395","1","[1440,900]","1","","","","","","","","","","","","","",""
