"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","114","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2910","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8908","0.0-2.0","5997.29999999702","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","17206","0.0-4.0","8297.20000000298","","","[{""page_index"":0,""viewing_time"":6088.600000008941},{""page_index"":1,""viewing_time"":1074.5},{""page_index"":2,""viewing_time"":1134}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","21644","0.0-5.0-0.0","","","","","[0,1]","1","1","589.7000000029802","0","0","[0,1]","0","0","1841.8999999910593","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","1","[0.6,0.51,0.387,0.388]","0","0","false","","",""
"","","","","","two-step-trial","5","24727","0.0-6.0-0.0","","","","","[0,1]","1","1","353.09999999403954","1","1","[2,3]","1","3","722.7000000029802","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","2","[0.6,0.49,0.376,0.364]","0","0","false","","",""
"","","","","","two-step-trial","6","29026","0.0-7.0-0.0","","","","","[0,1]","1","1","922.7999999970198","0","0","[0,1]","1","1","1372.7000000029802","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","3","[0.612,0.488,0.376,0.385]","0","0","false","","",""
"","","","","","two-step-trial","7","33728","0.0-8.0-0.0","","","","","[0,1]","1","1","472.90000000596046","1","1","[2,3]","0","2","2222.1000000089407","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","4","[0.659,0.517,0.37,0.352]","0","0","false","","",""
"","","","","","two-step-trial","8","37153","0.0-9.0-0.0","","","","","[0,1]","1","1","663.4000000059605","1","1","[2,3]","0","2","756.5999999940395","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","5","[0.676,0.497,0.349,0.378]","0","0","false","","",""
"","","","","","two-step-trial","9","40105","0.0-10.0-0.0","","","","","[0,1]","1","1","310.09999999403954","1","1","[2,3]","1","3","636.2000000029802","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","6","[0.682,0.475,0.347,0.386]","0","0","false","","",""
"","","","","","two-step-trial","10","43116","0.0-11.0-0.0","","","","","[0,1]","1","1","249.8999999910593","0","0","[0,1]","0","0","752.7999999970198","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","7","[0.65,0.473,0.346,0.344]","0","0","false","","",""
"","","","","","two-step-trial","11","45846","0.0-12.0-0.0","","","","","[0,1]","1","1","307.5","1","1","[2,3]","1","3","413.59999999403954","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","8","[0.637,0.456,0.371,0.318]","0","0","false","","",""
"","","","","","two-step-trial","12","49599","0.0-13.0-0.0","","","","","[0,1]","1","1","304.29999999701977","0","0","[0,1]","1","1","1444.699999988079","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","9","[0.637,0.443,0.354,0.311]","0","0","false","","",""
"","","","","","two-step-trial","13","52777","0.0-14.0-0.0","","","","","[0,1]","1","1","364.40000000596046","1","1","[2,3]","0","2","809.2999999970198","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","10","[0.63,0.435,0.315,0.32]","0","0","false","","",""
