"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","208","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4096","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","10967","0.0-2.0","6867.5999999940395","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","46355","0.0-3.0-0.0-1.0","35377.89999999106","","","[{""page_index"":0,""viewing_time"":4905.5},{""page_index"":1,""viewing_time"":2633.2999999970198},{""page_index"":2,""viewing_time"":3094.3999999910593},{""page_index"":3,""viewing_time"":4172.600000008941},{""page_index"":4,""viewing_time"":3292.7000000029802},{""page_index"":5,""viewing_time"":1065.0999999940395},{""page_index"":6,""viewing_time"":452.09999999403954},{""page_index"":7,""viewing_time"":981.1000000089407},{""page_index"":8,""viewing_time"":4719.5999999940395},{""page_index"":9,""viewing_time"":6241.20000000298},{""page_index"":10,""viewing_time"":3818.7999999970198}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","60730","0.0-3.0-0.0-2.0","14360.70000000298","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","65346","0.0-3.0-1.0-0.0-0.0","4596.79999999702","","","[{""page_index"":0,""viewing_time"":4596.399999991059}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","68398","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","812.7000000029802","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","71587","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","302.20000000298023","0","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","75203","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","413.8999999910593","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","77828","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","391.6000000089407","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","80384","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","325.09999999403954","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","11","96261","0.0-3.0-2.0-1.0","15871.09999999404","","","[{""page_index"":0,""viewing_time"":4593},{""page_index"":1,""viewing_time"":1687.7000000029802},{""page_index"":2,""viewing_time"":4368.199999988079},{""page_index"":3,""viewing_time"":1979.300000011921},{""page_index"":4,""viewing_time"":1807.2999999970198},{""page_index"":5,""viewing_time"":1434.5}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","12","107455","0.0-3.0-2.0-2.0","11184.699999988079","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","13","119799","0.0-3.0-3.0-0.0","12330.300000011921","","","[{""page_index"":0,""viewing_time"":1530.1000000089407},{""page_index"":1,""viewing_time"":4622.5999999940395},{""page_index"":2,""viewing_time"":6176.100000008941}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","14","127594","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[2,3]","1","3","801","1","[1620,1080]","1","[0,1]","1","1","4866.100000008941","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","15","130542","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[2,3]","1","3","385.29999999701977","1","[1620,1080]","1","[0,1]","1","1","535.3000000119209","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","16","135115","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[0,1]","0","0","1324.0999999940395","1","[1620,1080]","1","[0,1]","1","1","394.79999999701977","0","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","17","138181","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[2,3]","1","3","519.2000000029802","1","[1620,1080]","1","[0,1]","1","1","514.4000000059605","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","18","141438","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[2,3]","1","3","519.4000000059605","1","[1620,1080]","1","[0,1]","1","1","712.5","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","19","144591","0.0-3.0-3.0-1.0-0.5","","","","","","","","","[2,3]","1","3","548.4000000059605","1","[1620,1080]","1","[0,1]","1","1","533.9000000059605","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","20","147599","0.0-3.0-3.0-1.0-0.6","","","","","","","","","[2,3]","1","3","466.70000000298023","1","[1620,1080]","1","[0,1]","1","1","506.69999998807907","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","21","151588","0.0-3.0-3.0-1.0-0.7","","","","","","","","","[2,3]","1","3","459.20000000298023","1","[1620,1080]","1","[0,1]","1","1","561.2000000029802","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","22","154550","0.0-3.0-3.0-1.0-0.8","","","","","","","","","[2,3]","1","3","462.1000000089407","1","[1620,1080]","1","[0,1]","1","1","480.8999999910593","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","23","157589","0.0-3.0-3.0-1.0-0.9","","","","","","","","","[2,3]","1","3","465.59999999403954","1","[1620,1080]","1","[0,1]","1","1","457.80000001192093","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
