"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","200","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3588","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","11642","0.0-2.0","8049.699999999255","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","66574","0.0-3.0-0.0-1.0","54923.099999997765","","","[{""page_index"":0,""viewing_time"":7028.29999999702},{""page_index"":1,""viewing_time"":4220.900000002235},{""page_index"":2,""viewing_time"":3047.699999999255},{""page_index"":3,""viewing_time"":4475.5},{""page_index"":4,""viewing_time"":7219.699999999255},{""page_index"":5,""viewing_time"":3361},{""page_index"":6,""viewing_time"":1474.199999999255},{""page_index"":7,""viewing_time"":3673.5},{""page_index"":8,""viewing_time"":953.9000000022352},{""page_index"":7,""viewing_time"":3624.39999999851},{""page_index"":8,""viewing_time"":5203},{""page_index"":9,""viewing_time"":7723.699999999255},{""page_index"":10,""viewing_time"":2916.2000000029802}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","86638","0.0-3.0-0.0-2.0","20055.199999999255","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","93562","0.0-3.0-1.0-0.0-0.0","6910","","","[{""page_index"":0,""viewing_time"":6908.800000000745}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","99037","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","2815.099999997765","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","103202","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","0","0","957.8000000007451","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","106046","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","598.5999999977648","0","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","111674","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","2418.5","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","115180","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","0","0","1272.7000000029802","0","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","119034","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","787.4000000022352","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","121743","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","1","1","471.3999999985099","1","[1620,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","13","124471","0.0-3.0-1.0-8.0-0.0","","","","","","","","","[0,1]","1","1","511.1000000014901","0","[1620,1080]","1","","","","","","","","","","","","","",""
