"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","130","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4554","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","11642","0.0-2.0","7085.299999952316","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","72158","0.0-3.0-0.0-1.0","60513.299999952316","","","[{""page_index"":0,""viewing_time"":19214.400000095367},{""page_index"":1,""viewing_time"":4216},{""page_index"":2,""viewing_time"":2816.5999999046326},{""page_index"":3,""viewing_time"":6515.5},{""page_index"":4,""viewing_time"":6700.5},{""page_index"":5,""viewing_time"":2033.2000000476837},{""page_index"":6,""viewing_time"":1550.0999999046326},{""page_index"":7,""viewing_time"":4049.300000190735},{""page_index"":8,""viewing_time"":4250.599999904633},{""page_index"":9,""viewing_time"":7382.099999904633},{""page_index"":10,""viewing_time"":1783.9000000953674}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","83276","0.0-3.0-0.0-2.0","11114.599999904633","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","89405","0.0-3.0-1.0-0.0-0.0","6124.600000143051","","","[{""page_index"":0,""viewing_time"":6123.900000095367}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","95608","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","3984","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","104767","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","6931.200000047684","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","108006","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","1017.3999998569489","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","111917","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","1694.5999999046326","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","114959","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","825.5","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","117599","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","418.39999985694885","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","12","148103","0.0-3.0-2.0-1.0","30500.5","","","[{""page_index"":0,""viewing_time"":4449.699999809265},{""page_index"":1,""viewing_time"":5000},{""page_index"":2,""viewing_time"":8433.300000190735},{""page_index"":3,""viewing_time"":9383},{""page_index"":4,""viewing_time"":1782.8999998569489},{""page_index"":5,""viewing_time"":1450.6000001430511}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","13","155869","0.0-3.0-2.0-2.0","7762.900000095367","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","14","169751","0.0-3.0-3.0-0.0","13878.100000143051","","","[{""page_index"":0,""viewing_time"":5960.200000047684},{""page_index"":1,""viewing_time"":3416.4000000953674},{""page_index"":2,""viewing_time"":4500.700000047684}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","15","178701","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[0,1]","1","1","5250.100000143051","0","[1440,900]","1","[0,1]","1","1","1679.7999999523163","0","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
"","","","","","two-step-trial","16","188397","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[2,3]","0","2","4459","0","[1440,900]","1","[0,1]","1","1","3222.7999999523163","1","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","0","false","","","",""
