"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","154","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","63431","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","64717","0.0-2.0","1282","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","67962","0.0-4.0","3242","","","[{""page_index"":0,""viewing_time"":2081},{""page_index"":1,""viewing_time"":609},{""page_index"":2,""viewing_time"":551}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","72126","0.0-5.0-0.0","","","","","[0,1]","0","0","1069","0","1","[2,3]","0","2","1088","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","1","[0.6,0.51,0.387,0.388]","0","0","false","","",""
"","","","","","two-step-trial","5","75977","0.0-6.0-0.0","","","","","[0,1]","0","0","1570","0","1","[2,3]","0","2","272","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","2","[0.6,0.49,0.376,0.364]","0","0","false","","",""
"","","","","","two-step-trial","6","79300","0.0-7.0-0.0","","","","","[0,1]","0","0","614","1","0","[0,1]","0","0","701","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","3","[0.612,0.488,0.376,0.385]","0","0","false","","",""
"","","","","","two-step-trial","7","82088","0.0-8.0-0.0","","","","","[0,1]","1","1","242","1","1","[2,3]","0","2","541","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","4","[0.659,0.517,0.37,0.352]","0","0","false","","",""
"","","","","","two-step-trial","8","85078","0.0-9.0-0.0","","","","","[0,1]","1","1","102","1","1","[2,3]","1","3","884","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","5","[0.676,0.497,0.349,0.378]","0","0","false","","",""
"","","","","","two-step-trial","9","87553","0.0-10.0-0.0","","","","","[0,1]","1","1","100","1","1","[2,3]","1","3","371","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","6","[0.682,0.475,0.347,0.386]","0","0","false","","",""
"","","","","","two-step-trial","10","90188","0.0-11.0-0.0","","","","","[0,1]","1","1","267","1","1","[2,3]","1","3","363","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","7","[0.65,0.473,0.346,0.344]","0","0","false","","",""
"","","","","","two-step-trial","11","92934","0.0-12.0-0.0","","","","","[0,1]","1","1","230","1","1","[2,3]","1","3","512","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","8","[0.637,0.456,0.371,0.318]","0","0","false","","",""
"","","","","","two-step-trial","12","95511","0.0-13.0-0.0","","","","","[0,1]","1","1","234","1","1","[2,3]","1","3","340","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","9","[0.637,0.443,0.354,0.311]","0","0","false","","",""
"","","","","","two-step-trial","13","98238","0.0-14.0-0.0","","","","","[0,1]","1","1","131","1","1","[2,3]","0","2","591","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","10","[0.63,0.435,0.315,0.32]","0","0","false","","",""
"","","","","","two-step-trial","14","100726","0.0-15.0-0.0","","","","","[0,1]","1","1","220","1","1","[2,3]","1","3","262","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","11","[0.599,0.48,0.291,0.32]","0","0","false","","",""
"","","","","","two-step-trial","15","103180","0.0-16.0-0.0","","","","","[0,1]","0","0","105","1","0","[0,1]","0","0","345","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","12","[0.573,0.445,0.3,0.33]","0","0","false","","",""
"","","","","","two-step-trial","16","105658","0.0-17.0-0.0","","","","","[0,1]","0","0","219","0","1","[2,3]","0","2","254","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","13","[0.6,0.4,0.3,0.32]","0","0","false","","",""
"","","","","","two-step-trial","17","109030","0.0-18.0-0.0","","","","","[0,1]","0","0","370","0","1","[2,3]","1","3","999","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","[1920,1080]","1","14","[0.601,0.428,0.308,0.274]","0","0","false","","",""
