"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","3834","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11492","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","23640","0.0-2.0","12146","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","119376","0.0-3.0-0.0-1.0","95733","","","[{""page_index"":0,""viewing_time"":18096},{""page_index"":1,""viewing_time"":5909},{""page_index"":2,""viewing_time"":3775},{""page_index"":3,""viewing_time"":5949},{""page_index"":4,""viewing_time"":7523},{""page_index"":5,""viewing_time"":6593},{""page_index"":6,""viewing_time"":15939},{""page_index"":7,""viewing_time"":7217},{""page_index"":8,""viewing_time"":11203},{""page_index"":9,""viewing_time"":9337},{""page_index"":10,""viewing_time"":4191}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","141548","0.0-3.0-0.0-2.0","22170","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","156235","0.0-3.0-1.0-0.0-0.0","14684","","","[{""page_index"":0,""viewing_time"":14684}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","162878","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","4428","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","166857","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","1766","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","170505","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","1430","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","173595","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","0","0","875","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","177927","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","2101","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","181691","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","0","0","1536","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","184609","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","0","0","712","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","13","187851","0.0-3.0-1.0-8.0-0.0","","","","","","","","","[0,1]","0","0","1024","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","14","190985","0.0-3.0-1.0-9.0-0.0","","","","","","","","","[0,1]","1","1","920","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","15","194514","0.0-3.0-1.0-10.0-0.0","","","","","","","","","[0,1]","0","0","1313","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","16","223619","0.0-3.0-1.0-11.0-0.0","29103","","","[{""page_index"":0,""viewing_time"":9083},{""page_index"":1,""viewing_time"":20020}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","17","228726","0.0-3.0-1.1-1.1-0.1","","","","","","","","","[0,1]","0","0","2890","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","18","233066","0.0-3.0-1.1-2.1-0.1","","","","","","","","","[0,1]","1","1","2120","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","19","236098","0.0-3.0-1.1-3.1-0.1","","","","","","","","","[0,1]","0","0","816","0","[1920,1080]","1","","","","","","","","","","","","","",""
