"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","191","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","47257","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","52826","0.0-2.0","5564","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","66816","0.0-4.0","13980.400000095367","","","[{""page_index"":0,""viewing_time"":3246.9000000953674},{""page_index"":1,""viewing_time"":4570.899999976158},{""page_index"":2,""viewing_time"":6161.100000023842}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","71598","0.0-5.0-0.0","","","","","[0,1]","0","0","1856.8999999761581","1","0","[0,1]","0","0","887.5","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","1","[0.412,0.317,0.453,0.743]","2","0","false","","",""
"","","","","","two-step-trial","5","74793","0.0-6.0-0.0","","","","","[0,1]","0","0","764.1999999284744","1","0","[0,1]","1","1","402.1999999284744","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","2","[0.402,0.305,0.461,0.702]","2","0","false","","",""
"","","","","","two-step-trial","6","77652","0.0-7.0-0.0","","","","","[0,1]","1","1","544.1000000238419","1","1","[2,3]","0","2","284.59999990463257","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","3","[0.373,0.327,0.445,0.732]","2","0","false","","",""
"","","","","","two-step-trial","7","80371","0.0-8.0-0.0","","","","","[0,1]","1","1","427.6999999284744","0","0","[0,1]","1","1","272.2999999523163","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","4","[0.381,0.303,0.418,0.736]","2","0","false","","",""
"","","","","","two-step-trial","8","83206","0.0-9.0-0.0","","","","","[0,1]","1","1","312.10000002384186","1","1","[2,3]","1","3","489.60000002384186","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","5","[0.366,0.363,0.401,0.709]","2","0","false","","",""
"","","","","","two-step-trial","9","85835","0.0-10.0-0.0","","","","","[0,1]","1","1","263.1999999284744","1","1","[2,3]","0","2","335.2000000476837","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","6","[0.393,0.368,0.383,0.711]","2","0","false","","",""
"","","","","","two-step-trial","10","88301","0.0-11.0-0.0","","","","","[0,1]","1","1","202","1","1","[2,3]","0","2","229.89999997615814","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","7","[0.4,0.405,0.425,0.678]","2","0","false","","",""
"","","","","","two-step-trial","11","90733","0.0-12.0-0.0","","","","","[0,1]","1","1","264.39999997615814","1","1","[2,3]","1","3","128.19999992847443","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","8","[0.383,0.388,0.415,0.699]","2","0","false","","",""
"","","","","","two-step-trial","12","93117","0.0-13.0-0.0","","","","","[0,1]","1","1","120.70000004768372","1","1","[2,3]","0","2","225.29999995231628","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","9","[0.347,0.439,0.405,0.713]","2","0","false","","",""
"","","","","","two-step-trial","13","95804","0.0-14.0-0.0","","","","","[0,1]","1","1","382","0","0","[0,1]","0","0","278.10000002384186","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","10","[0.367,0.459,0.46,0.731]","2","0","false","","",""
"","","","","","two-step-trial","14","98228","0.0-15.0-0.0","","","","","[0,1]","0","0","105.10000002384186","1","0","[0,1]","0","0","285.7000000476837","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","11","[0.397,0.451,0.461,0.701]","2","0","false","","",""
"","","","","","two-step-trial","15","100999","0.0-16.0-0.0","","","","","[0,1]","0","0","407.40000009536743","1","0","[0,1]","0","0","327.10000002384186","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","12","[0.357,0.426,0.459,0.707]","2","0","false","","",""
"","","","","","two-step-trial","16","103979","0.0-17.0-0.0","","","","","[0,1]","0","0","480.60000002384186","0","1","[2,3]","0","2","456.2999999523163","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","13","[0.337,0.398,0.428,0.721]","2","0","false","","",""
"","","","","","two-step-trial","17","119010","0.0-18.0-0.0","","","","","[0,1]","null","null","null","1","null","[0,1]","null","null","null","null","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","14","[0.283,0.408,0.384,0.719]","2","0","true","","",""
"","","","","","two-step-trial","18","121506","0.0-18.1-0.1","","","","","[0,1]","0","0","33","1","0","[0,1]","0","0","434.60000002384186","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","14","[0.283,0.408,0.384,0.719]","2","0","false","","",""
"","","","","","two-step-trial","19","124027","0.0-19.0-0.0","","","","","[0,1]","0","0","210.5","1","0","[0,1]","0","0","290.60000002384186","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","15","[0.295,0.37,0.375,0.738]","2","0","false","","",""
"","","","","","two-step-trial","20","126456","0.0-20.0-0.0","","","","","[0,1]","0","0","183.30000007152557","1","0","[0,1]","0","0","217.5","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","16","[0.305,0.343,0.325,0.713]","2","0","false","","",""
"","","","","","two-step-trial","21","128928","0.0-21.0-0.0","","","","","[0,1]","0","0","192.89999997615814","0","1","[2,3]","0","2","258.10000002384186","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","17","[0.305,0.313,0.334,0.705]","2","0","false","","",""
"","","","","","two-step-trial","22","131473","0.0-22.0-0.0","","","","","[0,1]","0","0","17.200000047683716","0","1","[2,3]","1","3","503.39999997615814","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","18","[0.316,0.314,0.353,0.728]","2","0","false","","",""
"","","","","","two-step-trial","23","134056","0.0-23.0-0.0","","","","","[0,1]","1","1","300.8000000715256","1","1","[2,3]","1","3","257.89999997615814","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","19","[0.317,0.335,0.368,0.745]","2","0","false","","",""
"","","","","","two-step-trial","24","136406","0.0-24.0-0.0","","","","","[0,1]","1","1","15.199999928474426","1","1","[2,3]","1","3","303.2999999523163","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","20","[0.307,0.313,0.421,0.737]","2","0","false","","",""
"","","","","","two-step-trial","25","138989","0.0-25.0-0.0","","","","","[0,1]","1","1","292.2999999523163","0","0","[0,1]","1","1","256.8000000715256","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","21","[0.31,0.305,0.401,0.745]","2","0","false","","",""
"","","","","","two-step-trial","26","141496","0.0-26.0-0.0","","","","","[0,1]","1","1","186.89999997615814","1","1","[2,3]","1","3","294","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","22","[0.326,0.31,0.391,0.735]","2","0","false","","",""
"","","","","","two-step-trial","27","144112","0.0-27.0-0.0","","","","","[0,1]","1","1","127.29999995231628","1","1","[2,3]","1","3","462.89999997615814","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","23","[0.331,0.302,0.379,0.741]","2","0","false","","",""
"","","","","","two-step-trial","28","146601","0.0-28.0-0.0","","","","","[0,1]","1","1","49.39999997615814","1","1","[2,3]","1","3","412","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","24","[0.358,0.323,0.393,0.738]","2","0","false","","",""
"","","","","","two-step-trial","29","149105","0.0-29.0-0.0","","","","","[0,1]","1","1","51.700000047683716","1","1","[2,3]","1","3","416","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","25","[0.342,0.299,0.368,0.724]","2","0","false","","",""
"","","","","","two-step-trial","30","151602","0.0-30.0-0.0","","","","","[0,1]","1","1","69.10000002384186","1","1","[2,3]","1","3","398","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","26","[0.362,0.294,0.373,0.738]","2","0","false","","",""
"","","","","","two-step-trial","31","154400","0.0-31.0-0.0","","","","","[0,1]","1","1","446.39999997615814","0","0","[0,1]","1","1","321.10000002384186","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","27","[0.332,0.286,0.389,0.683]","2","0","false","","",""
"","","","","","two-step-trial","32","157117","0.0-32.0-0.0","","","","","[0,1]","1","1","384.2000000476837","1","1","[2,3]","1","3","302.39999997615814","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","28","[0.34,0.303,0.383,0.689]","2","0","false","","",""
"","","","","","two-step-trial","33","159929","0.0-33.0-0.0","","","","","[0,1]","1","1","224.89999997615814","0","0","[0,1]","0","0","556.3999999761581","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","29","[0.317,0.302,0.385,0.679]","2","0","false","","",""
"","","","","","two-step-trial","34","162547","0.0-34.0-0.0","","","","","[0,1]","1","1","301.5","1","1","[2,3]","1","3","286.1999999284744","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","30","[0.353,0.346,0.414,0.681]","2","0","false","","",""
"","","","","","two-step-trial","35","165663","0.0-35.0-0.0","","","","","[0,1]","1","1","325.2000000476837","0","0","[0,1]","0","0","767","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","31","[0.325,0.331,0.414,0.647]","2","0","false","","",""
"","","","","","two-step-trial","36","168632","0.0-36.0-0.0","","","","","[0,1]","1","1","696.7000000476837","1","1","[2,3]","1","3","243.89999997615814","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","32","[0.328,0.33,0.383,0.663]","2","0","false","","",""
"","","","","","two-step-trial","37","171276","0.0-37.0-0.0","","","","","[0,1]","1","1","253.80000007152557","1","1","[2,3]","1","3","367.89999997615814","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","33","[0.322,0.332,0.362,0.633]","2","0","false","","",""
"","","","","","two-step-trial","38","174030","0.0-38.0-0.0","","","","","[0,1]","1","1","394.7000000476837","1","1","[2,3]","1","3","334.2999999523163","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","34","[0.322,0.307,0.363,0.617]","2","0","false","","",""
"","","","","","two-step-trial","39","177163","0.0-39.0-0.0","","","","","[0,1]","1","1","293.5","0","0","[0,1]","0","0","803.5999999046326","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","35","[0.297,0.336,0.333,0.65]","2","0","false","","",""
"","","","","","two-step-trial","40","179912","0.0-40.0-0.0","","","","","[0,1]","1","1","416.5","1","1","[2,3]","1","3","306.6999999284744","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","36","[0.326,0.343,0.331,0.633]","2","0","false","","",""
"","","","","","two-step-trial","41","182716","0.0-41.0-0.0","","","","","[0,1]","1","1","388.59999990463257","1","1","[2,3]","1","3","387.7000000476837","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","37","[0.318,0.324,0.327,0.612]","2","0","false","","",""
"","","","","","two-step-trial","42","186612","0.0-42.0-0.0","","","","","[0,1]","1","1","409.39999997615814","1","1","[2,3]","1","3","1452.2000000476837","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","38","[0.304,0.324,0.319,0.591]","2","0","false","","",""
"","","","","","two-step-trial","43","190103","0.0-43.0-0.0","","","","","[0,1]","1","1","695.4000000953674","0","0","[0,1]","0","0","757.7000000476837","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","39","[0.283,0.362,0.351,0.561]","2","0","false","","",""
"","","","","","two-step-trial","44","194324","0.0-44.0-0.0","","","","","[0,1]","1","1","670.2999999523163","1","1","[2,3]","1","3","1513.7999999523163","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","40","[0.295,0.387,0.331,0.546]","2","0","false","","",""
"","","","","","two-step-trial","45","197675","0.0-45.0-0.0","","","","","[0,1]","1","1","520.2000000476837","0","0","[0,1]","0","0","801.1999999284744","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","41","[0.293,0.385,0.33,0.584]","2","0","false","","",""
"","","","","","two-step-trial","46","201589","0.0-46.0-0.0","","","","","[0,1]","1","1","1314.8000000715256","1","1","[2,3]","1","3","569.3999999761581","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","42","[0.304,0.383,0.318,0.562]","2","0","false","","",""
"","","","","","two-step-trial","47","204704","0.0-47.0-0.0","","","","","[0,1]","1","1","527.1000000238419","1","1","[2,3]","1","3","555.8999999761581","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","43","[0.318,0.398,0.315,0.576]","2","0","false","","",""
"","","","","","two-step-trial","48","207913","0.0-48.0-0.0","","","","","[0,1]","1","1","382.39999997615814","1","1","[2,3]","1","3","795.4000000953674","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","44","[0.321,0.371,0.348,0.616]","2","0","false","","",""
"","","","","","two-step-trial","49","210579","0.0-49.0-0.0","","","","","[0,1]","1","1","316","1","1","[2,3]","1","3","325.7000000476837","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","45","[0.319,0.418,0.367,0.598]","2","0","false","","",""
"","","","","","two-step-trial","50","213103","0.0-50.0-0.0","","","","","[0,1]","1","1","139.89999997615814","1","1","[2,3]","1","3","356","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","46","[0.326,0.44,0.366,0.588]","2","0","false","","",""
"","","","","","two-step-trial","51","216022","0.0-51.0-0.0","","","","","[0,1]","1","1","100","1","1","[2,3]","1","3","783.2999999523163","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","47","[0.315,0.46,0.378,0.597]","2","0","false","","",""
"","","","","","two-step-trial","52","218703","0.0-52.0-0.0","","","","","[0,1]","1","1","110.60000002384186","1","1","[2,3]","1","3","540","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","48","[0.281,0.476,0.36,0.571]","2","0","false","","",""
"","","","","","two-step-trial","53","221417","0.0-53.0-0.0","","","","","[0,1]","1","1","94.60000002384186","0","0","[0,1]","0","0","599.3000000715256","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","49","[0.254,0.439,0.383,0.579]","2","0","false","","",""
"","","","","","two-step-trial","54","223955","0.0-54.0-0.0","","","","","[0,1]","1","1","246.20000004768372","1","1","[2,3]","1","3","255.30000007152557","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","50","[0.303,0.471,0.392,0.592]","2","0","false","","",""
"","","","","","two-step-trial","55","226384","0.0-55.0-0.0","","","","","[0,1]","0","0","45.89999997615814","1","0","[0,1]","1","1","346.5","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","51","[0.274,0.41,0.377,0.587]","2","0","false","","",""
"","","","","","two-step-trial","56","228867","0.0-56.0-0.0","","","","","[0,1]","0","0","187.80000007152557","1","0","[0,1]","0","0","272.60000002384186","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","52","[0.29,0.413,0.363,0.572]","2","0","false","","",""
"","","","","","two-step-trial","57","231182","0.0-57.0-0.0","","","","","[0,1]","0","0","0.30000007152557373","0","1","[2,3]","0","2","284.5","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","53","[0.292,0.425,0.318,0.522]","2","0","false","","",""
"","","","","","two-step-trial","58","233432","0.0-58.0-0.0","","","","","[0,1]","0","0","15.800000071525574","1","0","[0,1]","0","0","199.79999995231628","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","54","[0.284,0.449,0.332,0.552]","2","0","false","","",""
"","","","","","two-step-trial","59","236547","0.0-59.0-0.0","","","","","[0,1]","0","0","716.1000000238419","0","1","[2,3]","0","2","371.10000002384186","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","55","[0.253,0.41,0.344,0.579]","2","0","false","","",""
"","","","","","two-step-trial","60","239515","0.0-60.0-0.0","","","","","[0,1]","0","0","439.10000002384186","1","0","[0,1]","0","0","501.2999999523163","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","56","[0.277,0.408,0.373,0.526]","2","0","false","","",""
"","","","","","two-step-trial","61","242001","0.0-61.0-0.0","","","","","[0,1]","0","0","69.70000004768372","1","0","[0,1]","1","1","393.89999997615814","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","57","[0.252,0.418,0.356,0.521]","2","0","false","","",""
"","","","","","two-step-trial","62","244546","0.0-62.0-0.0","","","","","[0,1]","0","0","264.7999999523163","1","0","[0,1]","1","1","257","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","58","[0.282,0.462,0.395,0.504]","2","0","false","","",""
"","","","","","two-step-trial","63","246806","0.0-63.0-0.0","","","","","[0,1]","0","0","12.899999976158142","0","1","[2,3]","1","3","217.70000004768372","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","59","[0.297,0.475,0.39,0.498]","2","0","false","","",""
"","","","","","two-step-trial","64","249449","0.0-64.0-0.0","","","","","[0,1]","1","1","250.60000002384186","1","1","[2,3]","1","3","379.10000002384186","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","60","[0.295,0.463,0.364,0.52]","2","0","false","","",""
"","","","","","two-step-trial","65","252081","0.0-65.0-0.0","","","","","[0,1]","1","1","274.5","1","1","[2,3]","1","3","339.7999999523163","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","61","[0.295,0.433,0.355,0.543]","2","0","false","","",""
"","","","","","two-step-trial","66","254663","0.0-66.0-0.0","","","","","[0,1]","1","1","273.7000000476837","0","0","[0,1]","1","1","282.5","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","62","[0.307,0.43,0.353,0.543]","2","0","false","","",""
"","","","","","two-step-trial","67","257271","0.0-67.0-0.0","","","","","[0,1]","1","1","277.60000002384186","1","1","[2,3]","1","3","311.60000002384186","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","63","[0.353,0.426,0.367,0.529]","2","0","false","","",""
"","","","","","two-step-trial","68","260346","0.0-68.0-0.0","","","","","[0,1]","1","1","274.89999997615814","0","0","[0,1]","0","0","774.7999999523163","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","64","[0.37,0.432,0.33,0.47]","2","0","false","","",""
"","","","","","two-step-trial","69","263616","0.0-69.0-0.0","","","","","[0,1]","1","1","498","1","1","[2,3]","1","3","751.1000000238419","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1536,864]","1","65","[0.377,0.393,0.348,0.501]","2","0","false","","",""
