"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","875","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8969","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","28909","0.0-2.0","19937.5","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","75041","0.0-3.0-0.0-1.0","46125.5","","","[{""page_index"":0,""viewing_time"":4272.799999952316},{""page_index"":1,""viewing_time"":5164},{""page_index"":2,""viewing_time"":2702.2000000476837},{""page_index"":3,""viewing_time"":3940},{""page_index"":4,""viewing_time"":5334.699999928474},{""page_index"":5,""viewing_time"":2768},{""page_index"":6,""viewing_time"":1612.9000000953674},{""page_index"":7,""viewing_time"":6119.199999928474},{""page_index"":8,""viewing_time"":4554.399999976158},{""page_index"":9,""viewing_time"":5395.700000047684},{""page_index"":10,""viewing_time"":4261.100000023842}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","89411","0.0-3.0-0.0-2.0","14364.600000023842","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","93636","0.0-3.0-1.0-0.0-0.0","4209.899999976158","","","[{""page_index"":0,""viewing_time"":4209.799999952316}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","99316","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","3447.600000023842","0","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","103355","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","1794.8000000715256","0","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","106184","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","586.6000000238419","0","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","108858","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","433.10000002384186","1","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","111391","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","0","0","301.2000000476837","0","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","114004","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","376","1","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","116521","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","0","0","291.60000002384186","1","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","13","119042","0.0-3.0-1.0-8.0-0.0","","","","","","","","","[0,1]","1","1","290.7000000476837","0","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","14","121535","0.0-3.0-1.0-9.0-0.0","","","","","","","","","[0,1]","0","0","262.89999997615814","0","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","15","124032","0.0-3.0-1.0-10.0-0.0","","","","","","","","","[0,1]","1","1","268.89999997615814","1","[1536,864]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","16","132951","0.0-3.0-1.0-11.0-0.0","8916.600000023842","","","[{""page_index"":0,""viewing_time"":4881.399999976158},{""page_index"":1,""viewing_time"":4034.5}]","","","","","","","","","","","","","","","","","","","","","","","","",""
