"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","180","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8857","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","18932","0.0-2.0","10074","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","98365","0.0-3.0-0.0-1.0","79431","","","[{""page_index"":0,""viewing_time"":14246},{""page_index"":1,""viewing_time"":6851.000000000007},{""page_index"":2,""viewing_time"":3401.9999999999927},{""page_index"":3,""viewing_time"":7184},{""page_index"":4,""viewing_time"":8120},{""page_index"":5,""viewing_time"":3535.0000000000073},{""page_index"":6,""viewing_time"":2200},{""page_index"":7,""viewing_time"":5761.999999999993},{""page_index"":8,""viewing_time"":9725},{""page_index"":9,""viewing_time"":14205},{""page_index"":10,""viewing_time"":4201}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","116593","0.0-3.0-0.0-2.0","18224.999999999985","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","125974","0.0-3.0-1.0-0.0-0.0","9378","","","[{""page_index"":0,""viewing_time"":9378}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","129752","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","1574.9999999999854","0","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","133432","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","1476","0","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","141803","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","6166","0","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","144828","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","0","0","822","0","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","147652","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","619","1","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","150330","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","473.0000000000291","1","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","153007","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","1","1","473","1","[2560,1416]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","13","232623","0.0-3.0-2.0-1.0","79613.00000000003","","","[{""page_index"":0,""viewing_time"":5890},{""page_index"":1,""viewing_time"":3985.000000000029},{""page_index"":2,""viewing_time"":38009.99999999997},{""page_index"":3,""viewing_time"":21042},{""page_index"":4,""viewing_time"":5451},{""page_index"":5,""viewing_time"":5235.000000000029}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","14","243828","0.0-3.0-2.0-2.0","11201","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","15","277054","0.0-3.0-3.0-0.0","33224","","","[{""page_index"":0,""viewing_time"":13117},{""page_index"":1,""viewing_time"":5501},{""page_index"":2,""viewing_time"":14605}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","16","287875","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[2,3]","0","2","6150","0","[2560,1416]","1","[0,1]","1","1","2665","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","17","297617","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[2,3]","1","3","4453","1","[2560,1416]","1","[0,1]","1","1","3285.000000000058","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","18","309058","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[0,1]","0","0","6173","1","[2560,1416]","1","[0,1]","1","1","3263","0","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","19","317293","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[2,3]","1","3","2732","1","[2560,1416]","1","[0,1]","1","1","3500","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","20","321322","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[2,3]","1","3","830","1","[2560,1416]","1","[0,1]","1","1","1194.0000000000582","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","21","324967","0.0-3.0-3.0-1.0-0.5","","","","","","","","","[2,3]","1","3","729","1","[2560,1416]","1","[0,1]","1","1","911","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","22","328184","0.0-3.0-3.0-1.0-0.6","","","","","","","","","[2,3]","1","3","503","1","[2560,1416]","1","[0,1]","1","1","708","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","23","331941","0.0-3.0-3.0-1.0-0.7","","","","","","","","","[2,3]","1","3","1077","1","[2560,1416]","1","[0,1]","1","1","674.9999999999418","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","24","335047","0.0-3.0-3.0-1.0-0.8","","","","","","","","","[2,3]","1","3","480.9999999999418","1","[2560,1416]","1","[0,1]","1","1","620","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","25","338219","0.0-3.0-3.0-1.0-0.9","","","","","","","","","[2,3]","1","3","538","1","[2560,1416]","1","[0,1]","1","1","631","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-instructions","26","432234","0.0-3.0-4.0-1.0","94012","","","[{""page_index"":0,""viewing_time"":4667.999999999942},{""page_index"":1,""viewing_time"":5727},{""page_index"":2,""viewing_time"":3015},{""page_index"":3,""viewing_time"":4680},{""page_index"":4,""viewing_time"":34875},{""page_index"":5,""viewing_time"":32993},{""page_index"":6,""viewing_time"":8054.000000000058}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","27","448890","0.0-3.0-4.0-2.0","16652","","","","[""True"",""False"",""True""]","0","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","28","470912","0.0-4.0","22020.00000000006","","","[{""page_index"":0,""viewing_time"":3581},{""page_index"":1,""viewing_time"":7786},{""page_index"":2,""viewing_time"":10653.000000000058}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","29","480557","0.0-5.0-0.0","","","","","","","","","[2,3]","1","3","1899","0","[2560,1416]","1","[0,1]","1","1","5742","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","1","false","[0.6,0.51,0.387,0.388]","0","0",""
"","","","","","two-step-trial","30","492966","0.0-6.0-0.0","","","","","","","","","[2,3]","0","2","6375.999999999942","0","[2560,1416]","1","[0,1]","1","1","4028","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","2","false","[0.6,0.49,0.376,0.364]","0","0",""
"","","","","","two-step-trial","31","506297","0.0-7.0-0.0","","","","","","","","","[0,1]","1","1","6905","0","[2560,1416]","1","[0,1]","0","0","4422","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","3","false","[0.612,0.488,0.376,0.385]","0","0",""
"","","","","","two-step-trial","32","515522","0.0-8.0-0.0","","","","","","","","","[2,3]","1","3","4317.000000000058","0","[2560,1416]","1","[0,1]","0","0","2902.999999999942","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","4","false","[0.659,0.517,0.37,0.352]","0","0",""
"","","","","","two-step-trial","33","521866","0.0-9.0-0.0","","","","","","","","","[0,1]","0","0","3350.000000000058","1","[2560,1416]","1","[0,1]","0","0","990","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","5","false","[0.676,0.497,0.349,0.378]","0","0",""
"","","","","","two-step-trial","34","527222","0.0-10.0-0.0","","","","","","","","","[0,1]","0","0","885","0","[2560,1416]","1","[0,1]","0","0","2464.999999999942","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","6","false","[0.682,0.475,0.347,0.386]","0","0",""
"","","","","","two-step-trial","35","536492","0.0-11.0-0.0","","","","","","","","","[2,3]","0","2","3901","0","[2560,1416]","1","[0,1]","0","0","3364","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","7","false","[0.65,0.473,0.346,0.344]","0","0",""
"","","","","","two-step-trial","36","544671","0.0-12.0-0.0","","","","","","","","","[0,1]","0","0","2305","1","[2560,1416]","1","[0,1]","0","0","3871","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","8","false","[0.637,0.456,0.371,0.318]","0","0",""
"","","","","","two-step-trial","37","548451","0.0-13.0-0.0","","","","","","","","","[0,1]","0","0","876","1","[2560,1416]","1","[0,1]","0","0","901","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","9","false","[0.637,0.443,0.354,0.311]","0","0",""
"","","","","","two-step-trial","38","551984","0.0-14.0-0.0","","","","","","","","","[0,1]","0","0","921","0","[2560,1416]","1","[0,1]","0","0","608","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","10","false","[0.63,0.435,0.315,0.32]","0","0",""
"","","","","","two-step-trial","39","562042","0.0-15.0-0.0","","","","","","","","","[0,1]","0","0","2226","1","[2560,1416]","1","[0,1]","0","0","5827","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","11","false","[0.599,0.48,0.291,0.32]","0","0",""
"","","","","","two-step-trial","40","565169","0.0-16.0-0.0","","","","","","","","","[0,1]","0","0","413","1","[2560,1416]","1","[0,1]","0","0","708.0000000001164","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","12","false","[0.573,0.445,0.3,0.33]","0","0",""
"","","","","","two-step-trial","41","568117","0.0-17.0-0.0","","","","","","","","","[0,1]","0","0","505","0","[2560,1416]","1","[0,1]","0","0","439","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","13","false","[0.6,0.4,0.3,0.32]","0","0",""
"","","","","","two-step-trial","42","574350","0.0-18.0-0.0","","","","","","","","","[2,3]","1","3","3068.9999999998836","0","[2560,1416]","1","[0,1]","0","0","1159","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","14","false","[0.601,0.428,0.308,0.274]","0","0",""
"","","","","","two-step-trial","43","578624","0.0-19.0-0.0","","","","","","","","","[0,1]","0","0","1122.9999999998836","0","[2560,1416]","1","[0,1]","0","0","1148","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","15","false","[0.588,0.441,0.345,0.295]","0","0",""
"","","","","","two-step-trial","44","589132","0.0-20.0-0.0","","","","","","","","","[0,1]","0","0","6907","1","[2560,1416]","1","[0,1]","1","1","1598","0","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","16","false","[0.641,0.463,0.39,0.301]","0","0",""
"","","","","","two-step-trial","45","597366","0.0-21.0-0.0","","","","","","","","","[2,3]","1","3","4936","1","[2560,1416]","1","[0,1]","1","1","1294","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","17","false","[0.649,0.465,0.413,0.325]","0","0",""
"","","","","","two-step-trial","46","601102","0.0-22.0-0.0","","","","","","","","","[2,3]","1","3","763","1","[2560,1416]","1","[0,1]","1","1","969","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","18","false","[0.627,0.478,0.397,0.324]","0","0",""
"","","","","","two-step-trial","47","606558","0.0-23.0-0.0","","","","","","","","","[0,1]","0","0","2889","0","[2560,1416]","1","[0,1]","1","1","563","0","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","19","false","[0.656,0.491,0.375,0.348]","0","0",""
"","","","","","two-step-trial","48","610901","0.0-24.0-0.0","","","","","","","","","[0,1]","1","1","1100.0000000001164","0","[2560,1416]","1","[0,1]","1","1","1239","0","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","20","false","[0.64,0.468,0.396,0.335]","0","0",""
"","","","","","two-step-trial","49","614479","0.0-25.0-0.0","","","","","","","","","[2,3]","1","3","706","0","[2560,1416]","1","[0,1]","1","1","867","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","21","false","[0.633,0.467,0.352,0.33]","0","0",""
"","","","","","two-step-trial","50","619362","0.0-26.0-0.0","","","","","","","","","[2,3]","1","3","448","0","[2560,1416]","1","[0,1]","1","1","2431","1","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","22","false","[0.591,0.462,0.379,0.373]","0","0",""
"","","","","","two-step-trial","51","627574","0.0-27.0-0.0","","","","","","","","","[0,1]","0","0","4037.0000000001164","1","[2560,1416]","1","[0,1]","0","0","2171","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","23","false","[0.612,0.436,0.44,0.331]","0","0",""
"","","","","","two-step-trial","52","630724","0.0-28.0-0.0","","","","","","","","","[0,1]","0","0","335","0","[2560,1416]","1","[0,1]","0","0","811","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","24","false","[0.612,0.434,0.473,0.352]","0","0",""
"","","","","","two-step-trial","53","634178","0.0-29.0-0.0","","","","","","","","","[0,1]","1","1","572","1","[2560,1416]","1","[0,1]","0","0","878","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","25","false","[0.568,0.394,0.47,0.342]","0","0",""
"","","","","","two-step-trial","54","641264","0.0-30.0-0.0","","","","","","","","","[2,3]","1","3","4148","0","[2560,1416]","1","[0,1]","0","0","932.9999999998836","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","26","false","[0.601,0.434,0.455,0.342]","0","0",""
"","","","","","two-step-trial","55","644145","0.0-31.0-0.0","","","","","","","","","[0,1]","1","1","437","1","[2560,1416]","1","[0,1]","0","0","440","1","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","27","false","[0.539,0.464,0.435,0.334]","0","0",""
"","","","","","two-step-trial","56","647768","0.0-32.0-0.0","","","","","","","","","[2,3]","0","2","1235","1","[2560,1416]","1","[0,1]","0","0","382","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","28","false","[0.523,0.476,0.415,0.352]","0","0",""
"","","","","","two-step-trial","57","652143","0.0-33.0-0.0","","","","","","","","","[2,3]","0","2","1089.9999999998836","0","[2560,1416]","1","[0,1]","0","0","1282","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","29","false","[0.515,0.504,0.459,0.339]","0","0",""
"","","","","","two-step-trial","58","655924","0.0-34.0-0.0","","","","","","","","","[2,3]","0","2","844.0000000001164","1","[2560,1416]","1","[0,1]","0","0","933","0","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","30","false","[0.491,0.488,0.491,0.323]","0","0",""
