"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","171","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2900","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8479","0.0-2.0","5577.099999964237","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","121750","0.0-3.0-0.0-1.0","113269.19999998808","","","[{""page_index"":0,""viewing_time"":2371.100000023842},{""page_index"":1,""viewing_time"":5957.699999988079},{""page_index"":2,""viewing_time"":2524.399999976158},{""page_index"":3,""viewing_time"":6951.800000011921},{""page_index"":4,""viewing_time"":2524.100000023842},{""page_index"":5,""viewing_time"":2608.699999988079},{""page_index"":6,""viewing_time"":887.1999999880791},{""page_index"":7,""viewing_time"":2930.100000023842},{""page_index"":8,""viewing_time"":5924.599999964237},{""page_index"":9,""viewing_time"":74500.60000002384},{""page_index"":10,""viewing_time"":6088.399999976158}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","139754","0.0-3.0-0.0-2.0","18001.399999976158","","","","[""a/d keys"",""False"",""False""]","3","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","141556","0.0-3.0-0.1-0.1-0.1","1797.8999999761581","","","[{""page_index"":0,""viewing_time"":1797.6000000238419}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","6","145366","0.0-3.0-0.1-1.1","3808.599999964237","","","[{""page_index"":0,""viewing_time"":1476.8999999761581},{""page_index"":1,""viewing_time"":734.6999999880791},{""page_index"":2,""viewing_time"":189.69999998807907},{""page_index"":3,""viewing_time"":181.10000002384186},{""page_index"":4,""viewing_time"":173.89999997615814},{""page_index"":5,""viewing_time"":244},{""page_index"":6,""viewing_time"":202},{""page_index"":7,""viewing_time"":418.5},{""page_index"":8,""viewing_time"":187.4000000357628}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","7","148343","0.0-3.0-0.1-2.1","2975.699999988079","","","","[""1/0 keys"",""False"",""False""]","3","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","8","365707","0.0-3.0-0.2-0.2-0.2","217361.89999997616","","","[{""page_index"":0,""viewing_time"":217361.5}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","9","382413","0.0-3.0-0.2-1.2","16704.5","","","[{""page_index"":0,""viewing_time"":851.1999999880791},{""page_index"":1,""viewing_time"":1250.199999988079},{""page_index"":2,""viewing_time"":1497.2000000476837},{""page_index"":3,""viewing_time"":696},{""page_index"":4,""viewing_time"":796.1999999880791},{""page_index"":5,""viewing_time"":1524.800000011921},{""page_index"":4,""viewing_time"":456.5999999642372},{""page_index"":3,""viewing_time"":444.5},{""page_index"":2,""viewing_time"":1889.5},{""page_index"":3,""viewing_time"":453},{""page_index"":4,""viewing_time"":584.1000000238419},{""page_index"":5,""viewing_time"":1778},{""page_index"":6,""viewing_time"":1153},{""page_index"":7,""viewing_time"":1679.199999988079},{""page_index"":8,""viewing_time"":1650.699999988079}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","10","388648","0.0-3.0-0.2-2.2","6232.800000011921","","","","[""left/right arrow keys"",""True"",""False""]","1","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","11","389721","0.0-3.0-0.3-0.3-0.3","1070.4000000357628","","","[{""page_index"":0,""viewing_time"":1070}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","12","391672","0.0-3.0-0.3-1.3","1948.6000000238419","","","[{""page_index"":0,""viewing_time"":478.30000001192093},{""page_index"":1,""viewing_time"":202.69999998807907},{""page_index"":2,""viewing_time"":165.10000002384186},{""page_index"":3,""viewing_time"":155.80000001192093},{""page_index"":4,""viewing_time"":170.29999995231628},{""page_index"":5,""viewing_time"":172.9000000357628},{""page_index"":6,""viewing_time"":181.19999998807907},{""page_index"":7,""viewing_time"":199.89999997615814},{""page_index"":8,""viewing_time"":222.10000002384186}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","13","397592","0.0-3.0-0.3-2.3","5917.800000011921","","","","[""a/d keys"",""True"",""True""]","1","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","14","398664","0.0-3.0-0.4-0.4-0.4","1069.699999988079","","","[{""page_index"":0,""viewing_time"":1069.2999999523163}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","15","400457","0.0-3.0-0.4-1.4","1791","","","[{""page_index"":0,""viewing_time"":609},{""page_index"":1,""viewing_time"":175},{""page_index"":2,""viewing_time"":138.19999998807907},{""page_index"":3,""viewing_time"":138.89999997615814},{""page_index"":4,""viewing_time"":140.5},{""page_index"":5,""viewing_time"":141.4000000357628},{""page_index"":6,""viewing_time"":170},{""page_index"":7,""viewing_time"":128.29999995231628},{""page_index"":8,""viewing_time"":149.4000000357628}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","16","403863","0.0-3.0-0.4-2.4","3404.2000000476837","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","17","800083","0.0-3.0-1.0-0.0-0.0","396217.5","","","[{""page_index"":0,""viewing_time"":396217.10000002384}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","18","802972","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","676.8000000119209","1","[1920,947]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","19","805252","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","58.09999996423721","0","[1920,947]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","20","812977","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","5508.399999976158","1","[1920,947]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","21","815599","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","399.10000002384186","1","[1920,947]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","22","818221","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","403.2999999523163","1","[1920,947]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","23","1595539","0.0-3.0-2.0-1.0","777315.8000000119","","","[{""page_index"":0,""viewing_time"":2430.800000011921},{""page_index"":1,""viewing_time"":780.6999999880791},{""page_index"":2,""viewing_time"":770231.6999999881},{""page_index"":3,""viewing_time"":860.6999999880791},{""page_index"":4,""viewing_time"":926.3000000119209},{""page_index"":5,""viewing_time"":2085.100000023842}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","24","1601415","0.0-3.0-2.0-2.0","5873.5","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
