"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","152","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4467","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","12578","0.0-2.0","8110","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","74819","0.0-3.0-0.0-1.0","62239.89999985695","","","[{""page_index"":0,""viewing_time"":11218.699999809265},{""page_index"":1,""viewing_time"":6042.200000047684},{""page_index"":2,""viewing_time"":4199.5},{""page_index"":3,""viewing_time"":4740.5},{""page_index"":4,""viewing_time"":10191.5},{""page_index"":5,""viewing_time"":2372.600000143051},{""page_index"":6,""viewing_time"":1252.0999999046326},{""page_index"":7,""viewing_time"":3528.5999999046326},{""page_index"":8,""viewing_time"":5259.700000047684},{""page_index"":9,""viewing_time"":10419.299999952316},{""page_index"":10,""viewing_time"":3014.9000000953674}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","117533","0.0-3.0-0.0-2.0","42712.09999990463","","","","[""left/right arrow keys"",""False"",""True""]","1","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","122405","0.0-3.0-0.1-0.1-0.1","4869.100000143051","","","[{""page_index"":0,""viewing_time"":4868.800000190735}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","6","143500","0.0-3.0-0.1-1.1","21093.89999985695","","","[{""page_index"":0,""viewing_time"":2754.2000000476837},{""page_index"":1,""viewing_time"":2627.699999809265},{""page_index"":2,""viewing_time"":2438.300000190735},{""page_index"":3,""viewing_time"":807.1999998092651},{""page_index"":4,""viewing_time"":730.8000001907349},{""page_index"":5,""viewing_time"":1393.1999998092651},{""page_index"":6,""viewing_time"":2068.2000000476837},{""page_index"":7,""viewing_time"":3280.2999999523163},{""page_index"":8,""viewing_time"":4993.700000047684}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","7","151104","0.0-3.0-0.1-2.1","7601.799999952316","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","8","160005","0.0-3.0-1.0-0.0-0.0","8899","","","[{""page_index"":0,""viewing_time"":8898.799999952316}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","164221","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","1990.8000001907349","1","[1680,1050]","1","","","","","","","","","","","","","",""
