"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","319","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","394712","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","403438","0.0-2.0","8722","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","481191","0.0-3.0-0.0-1.0","77747","","","[{""page_index"":0,""viewing_time"":16400},{""page_index"":1,""viewing_time"":7048},{""page_index"":2,""viewing_time"":4504},{""page_index"":3,""viewing_time"":7625},{""page_index"":4,""viewing_time"":7657},{""page_index"":5,""viewing_time"":3448},{""page_index"":6,""viewing_time"":2535},{""page_index"":7,""viewing_time"":9928},{""page_index"":8,""viewing_time"":7097},{""page_index"":9,""viewing_time"":8072},{""page_index"":10,""viewing_time"":3433}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","525650","0.0-3.0-0.0-2.0","44456","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","539057","0.0-3.0-1.0-0.0-0.0","13400","","","[{""page_index"":0,""viewing_time"":13400}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","547240","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","5979","0","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","552921","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","3476","0","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","560103","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","4979","1","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","563656","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","1348","1","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","567000","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","1139","1","[1600,900]","1","","","","","","","","","","","","","",""
