"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","123","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","1693730","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1697881","0.0-2.0","4148","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","1766747","0.0-3.0-0.0-1.0","68862","","","[{""page_index"":0,""viewing_time"":6515},{""page_index"":1,""viewing_time"":3856},{""page_index"":2,""viewing_time"":2202},{""page_index"":3,""viewing_time"":7566},{""page_index"":4,""viewing_time"":10922},{""page_index"":5,""viewing_time"":5808},{""page_index"":6,""viewing_time"":1239},{""page_index"":7,""viewing_time"":8856},{""page_index"":8,""viewing_time"":7394},{""page_index"":9,""viewing_time"":11679},{""page_index"":10,""viewing_time"":2824}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","1780753","0.0-3.0-0.0-2.0","14001","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","1782876","0.0-3.0-1.0-0.0-0.0","2115","","","[{""page_index"":0,""viewing_time"":2115}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","1793451","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","8372","1","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","1802100","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","0","0","6445","1","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","1805731","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","1427","0","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","1809068","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","0","0","1132","0","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","1811956","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","0","0","683","0","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","1814828","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","668","1","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","1817780","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","1","1","747","1","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","13","1821173","0.0-3.0-1.0-8.0-0.0","","","","","","","","","[0,1]","1","1","1188","0","[1600,900]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","14","1861444","0.0-3.0-2.0-1.0","40269","","","[{""page_index"":0,""viewing_time"":5412},{""page_index"":1,""viewing_time"":48},{""page_index"":2,""viewing_time"":17456},{""page_index"":3,""viewing_time"":10080},{""page_index"":4,""viewing_time"":4680},{""page_index"":5,""viewing_time"":2592}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","15","1872790","0.0-3.0-2.0-2.0","11342","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","16","1899861","0.0-3.0-3.0-0.0","27063","","","[{""page_index"":0,""viewing_time"":7902},{""page_index"":1,""viewing_time"":6968},{""page_index"":2,""viewing_time"":12192}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","17","1919894","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[0,1]","0","0","9407","1","[1600,900]","1","[0,1]","0","0","8620","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","18","1928422","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[0,1]","0","0","1869","1","[1600,900]","1","[0,1]","0","0","4654","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","19","1941454","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[2,3]","0","2","7000","0","[1600,900]","1","[0,1]","0","0","4028","0","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","20","1946365","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[0,1]","0","0","1982","1","[1600,900]","1","[0,1]","0","0","924","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","21","1954727","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[0,1]","0","0","2944","1","[1600,900]","1","[0,1]","0","0","3413","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","22","1959165","0.0-3.0-3.0-1.0-0.5","","","","","","","","","[0,1]","0","0","671","1","[1600,900]","1","[0,1]","0","0","1763","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","23","1966574","0.0-3.0-3.0-1.0-0.6","","","","","","","","","[2,3]","1","3","4701","1","[1600,900]","1","[0,1]","0","0","702","0","1","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","24","1971269","0.0-3.0-3.0-1.0-0.7","","","","","","","","","[0,1]","0","0","973","1","[1600,900]","1","[0,1]","0","0","1718","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","25","1975366","0.0-3.0-3.0-1.0-0.8","","","","","","","","","[0,1]","0","0","1101","1","[1600,900]","1","[0,1]","0","0","990","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-trial","26","1979485","0.0-3.0-3.0-1.0-0.9","","","","","","","","","[0,1]","0","0","1158","1","[1600,900]","1","[0,1]","0","0","957","1","0","[""#48a782"",""#955db9""]","[""#7f5d5d"",""#5f6f81""]","0","false","","","",""
"","","","","","two-step-instructions","27","2053295","0.0-3.0-4.0-1.0","73807","","","[{""page_index"":0,""viewing_time"":6269},{""page_index"":1,""viewing_time"":4408},{""page_index"":2,""viewing_time"":1903},{""page_index"":3,""viewing_time"":1921},{""page_index"":4,""viewing_time"":12768},{""page_index"":5,""viewing_time"":15688},{""page_index"":6,""viewing_time"":9712},{""page_index"":5,""viewing_time"":432},{""page_index"":4,""viewing_time"":9624},{""page_index"":5,""viewing_time"":11008},{""page_index"":6,""viewing_time"":73}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","28","2065441","0.0-3.0-4.0-2.0","12140","","","","[""True"",""False"",""True""]","0","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","29","2073094","0.0-4.0","7648","","","[{""page_index"":0,""viewing_time"":2184},{""page_index"":1,""viewing_time"":2448},{""page_index"":2,""viewing_time"":3015}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","30","2088100","0.0-5.0-0.0","","","","","","","","","[0,1]","null","null","null","null","[1600,900]","1","[0,1]","null","null","null","1","null","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","1","true","[0.305,0.438,0.598,0.713]","3","0",""
"","","","","","two-step-trial","31","2095656","0.0-5.1-0.1","","","","","","","","","[0,1]","0","0","4863","0","[1600,900]","1","[0,1]","0","0","689","1","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","1","false","[0.305,0.438,0.598,0.713]","3","0",""
"","","","","","two-step-trial","32","2101520","0.0-6.0-0.0","","","","","","","","","[0,1]","1","1","2479","0","[1600,900]","1","[0,1]","0","0","1381","1","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","2","false","[0.326,0.396,0.598,0.702]","3","0",""
"","","","","","two-step-trial","33","2108815","0.0-7.0-0.0","","","","","","","","","[0,1]","1","1","3327","0","[1600,900]","1","[0,1]","0","0","1964","1","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","3","false","[0.302,0.426,0.576,0.736]","3","0",""
"","","","","","two-step-trial","34","2116312","0.0-8.0-0.0","","","","","","","","","[2,3]","0","2","3734","0","[1600,900]","1","[0,1]","1","1","1758","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","4","false","[0.362,0.43,0.582,0.702]","3","0",""
"","","","","","two-step-trial","35","2120712","0.0-9.0-0.0","","","","","","","","","[2,3]","1","3","1736","0","[1600,900]","1","[0,1]","1","1","660","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","5","false","[0.368,0.485,0.615,0.711]","3","0",""
