"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","301","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2955","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","7906","0.0-2.0","4949.899999976158","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","33195","0.0-3.0-0.0-1.0","25288.09999999404","","","[{""page_index"":0,""viewing_time"":2620.4000000059605},{""page_index"":1,""viewing_time"":1255.8999999761581},{""page_index"":2,""viewing_time"":916.3000000119209},{""page_index"":3,""viewing_time"":2953.9000000059605},{""page_index"":4,""viewing_time"":4267.0999999940395},{""page_index"":5,""viewing_time"":1252.300000011921},{""page_index"":6,""viewing_time"":988.8999999761581},{""page_index"":7,""viewing_time"":3664.600000023842},{""page_index"":8,""viewing_time"":2962.699999988079},{""page_index"":9,""viewing_time"":572.8000000119209},{""page_index"":8,""viewing_time"":853.0999999940395},{""page_index"":9,""viewing_time"":1773.4000000059605},{""page_index"":10,""viewing_time"":1206.2999999821186}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","46931","0.0-3.0-0.0-2.0","13732.90000000596","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","50653","0.0-3.0-1.0-0.0-0.0","3716.600000023842","","","[{""page_index"":0,""viewing_time"":3716.300000011921}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","54682","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","1804.699999988079","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","57915","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","1015","0","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","60832","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","703.1999999880791","1","[1440,900]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","63507","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","454.5","1","[1440,900]","1","","","","","","","","","","","","","",""
