"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","128","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","185697","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","187849","0.0-2.0","2149.899999976158","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","192626","0.0-4.0","4772.699999988079","","","[{""page_index"":0,""viewing_time"":1611.3999999761581},{""page_index"":1,""viewing_time"":1878.4000000357628},{""page_index"":2,""viewing_time"":1282.3999999761581}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","196066","0.0-5.0-0.0","","","","","[0,1]","1","1","1266.2000000476837","1","1","[2,3]","1","3","151.0999999642372","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","1","[0.6,0.51,0.387,0.388]","0","0","false","","",""
"","","","","","two-step-trial","5","199118","0.0-6.0-0.0","","","","","[0,1]","1","1","363.9000000357628","0","0","[0,1]","1","1","674.5999999642372","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","2","[0.6,0.49,0.376,0.364]","0","0","false","","",""
"","","","","","two-step-trial","6","201894","0.0-7.0-0.0","","","","","[0,1]","1","1","327","1","1","[2,3]","1","3","440.80000001192093","1","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","3","[0.612,0.488,0.376,0.385]","0","0","false","","",""
"","","","","","two-step-trial","7","204870","0.0-8.0-0.0","","","","","[0,1]","1","1","180","1","1","[2,3]","1","3","779.5","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","4","[0.659,0.517,0.37,0.352]","0","0","false","","",""
"","","","","","two-step-trial","8","207753","0.0-9.0-0.0","","","","","[0,1]","1","1","470.80000001192093","1","1","[2,3]","1","3","394.60000002384186","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","5","[0.676,0.497,0.349,0.378]","0","0","false","","",""
"","","","","","two-step-trial","9","210397","0.0-10.0-0.0","","","","","[0,1]","1","1","146.30000001192093","1","1","[2,3]","0","2","492","0","[""#48a782"",""#955db9""]","[""#5f6f81"",""#7f5d5d""]","[1440,900]","1","6","[0.682,0.475,0.347,0.386]","0","0","false","","",""
