"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","346","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6194","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","12497","0.0-2.0","6299","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","146630","0.0-3.0-0.0-1.0","134133","","","[{""page_index"":0,""viewing_time"":41798},{""page_index"":1,""viewing_time"":9382},{""page_index"":2,""viewing_time"":5638},{""page_index"":3,""viewing_time"":17306},{""page_index"":4,""viewing_time"":8596},{""page_index"":5,""viewing_time"":5453},{""page_index"":6,""viewing_time"":4620},{""page_index"":7,""viewing_time"":11747},{""page_index"":8,""viewing_time"":9400},{""page_index"":9,""viewing_time"":11412},{""page_index"":10,""viewing_time"":8780}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","168994","0.0-3.0-0.0-2.0","22359","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","179015","0.0-3.0-1.0-0.0-0.0","10018","","","[{""page_index"":0,""viewing_time"":10018}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","185888","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","4657","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","190235","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","0","0","2133","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","193914","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","1463","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","197050","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","0","0","921","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","201345","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","0","0","2080","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","206999","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","3439","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","210130","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","1","1","917","1","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","13","213074","0.0-3.0-1.0-8.0-0.0","","","","","","","","","[0,1]","1","1","730","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","14","265587","0.0-3.0-2.0-1.0","52511","","","[{""page_index"":0,""viewing_time"":6911},{""page_index"":1,""viewing_time"":2978},{""page_index"":2,""viewing_time"":14447},{""page_index"":3,""viewing_time"":18304},{""page_index"":4,""viewing_time"":4631},{""page_index"":5,""viewing_time"":5240}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","15","293942","0.0-3.0-2.0-2.0","28349","","","","[""left/right arrow keys"",""True"",""True""]","1","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","16","297826","0.0-3.0-2.1-0.1-0.1","3879","","","[{""page_index"":0,""viewing_time"":3878}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","17","304526","0.0-3.0-2.1-1.1","6696","","","[{""page_index"":0,""viewing_time"":2374},{""page_index"":1,""viewing_time"":2087},{""page_index"":2,""viewing_time"":864},{""page_index"":3,""viewing_time"":667},{""page_index"":4,""viewing_time"":703}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","18","312821","0.0-3.0-2.1-2.1","8289","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","19","339893","0.0-3.0-3.0-0.0","27068","","","[{""page_index"":0,""viewing_time"":5139},{""page_index"":1,""viewing_time"":10265},{""page_index"":2,""viewing_time"":11664}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","20","348745","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[2,3]","1","3","4786","1","[1920,1080]","1","[0,1]","1","1","2051","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","21","355913","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[2,3]","1","3","1864","1","[1920,1080]","1","[0,1]","1","1","3293","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","22","362393","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[2,3]","1","3","1706","1","[1920,1080]","1","[0,1]","1","1","2759","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","23","368937","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[2,3]","1","3","2038","1","[1920,1080]","1","[0,1]","1","1","2496","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","24","379193","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[2,3]","1","3","4892","1","[1920,1080]","1","[0,1]","1","1","3350","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","25","387722","0.0-3.0-3.0-1.0-0.5","","","","","","","","","[0,1]","1","1","4900","1","[1920,1080]","1","[0,1]","1","1","1615","0","0","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","26","392825","0.0-3.0-3.0-1.0-0.6","","","","","","","","","[2,3]","1","3","1156","1","[1920,1080]","1","[0,1]","1","1","1934","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","27","399874","0.0-3.0-3.0-1.0-0.7","","","","","","","","","[2,3]","1","3","3452","1","[1920,1080]","1","[0,1]","1","1","1584","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","28","404881","0.0-3.0-3.0-1.0-0.8","","","","","","","","","[2,3]","1","3","2161","1","[1920,1080]","1","[0,1]","1","1","831","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-trial","29","410441","0.0-3.0-3.0-1.0-0.9","","","","","","","","","[2,3]","1","3","2594","1","[1920,1080]","1","[0,1]","1","1","951","1","1","[""#a75248"",""#486ea7""]","[""#706081"",""#5b7c65""]","0","false","","","",""
"","","","","","two-step-instructions","30","479011","0.0-3.0-4.0-1.0","68568","","","[{""page_index"":0,""viewing_time"":4960},{""page_index"":1,""viewing_time"":5022},{""page_index"":2,""viewing_time"":2889},{""page_index"":3,""viewing_time"":5888},{""page_index"":4,""viewing_time"":15778},{""page_index"":5,""viewing_time"":28967},{""page_index"":6,""viewing_time"":5063}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","31","498944","0.0-3.0-4.0-2.0","19931","","","","[""True"",""False"",""True""]","0","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","32","513283","0.0-4.0","14333","","","[{""page_index"":0,""viewing_time"":2205},{""page_index"":1,""viewing_time"":4824},{""page_index"":2,""viewing_time"":7304}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","33","519004","0.0-5.0-0.0","","","","","","","","","[2,3]","1","3","1278","0","[1920,1080]","1","[0,1]","1","1","2435","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","1","false","[0.6,0.51,0.387,0.388]","0","0",""
"","","","","","two-step-trial","34","525569","0.0-6.0-0.0","","","","","","","","","[0,1]","1","1","1985","1","[1920,1080]","1","[0,1]","1","1","2564","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","2","false","[0.6,0.49,0.376,0.364]","0","0",""
"","","","","","two-step-trial","35","531872","0.0-7.0-0.0","","","","","","","","","[2,3]","0","2","1901","0","[1920,1080]","1","[0,1]","1","1","2391","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","3","false","[0.612,0.488,0.376,0.385]","0","0",""
"","","","","","two-step-trial","36","537296","0.0-8.0-0.0","","","","","","","","","[2,3]","1","3","1793","1","[1920,1080]","1","[0,1]","1","1","1614","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","4","false","[0.659,0.517,0.37,0.352]","0","0",""
"","","","","","two-step-trial","37","542009","0.0-9.0-0.0","","","","","","","","","[0,1]","1","1","1691","0","[1920,1080]","1","[0,1]","1","1","1006","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","5","false","[0.676,0.497,0.349,0.378]","0","0",""
"","","","","","two-step-trial","38","547389","0.0-10.0-0.0","","","","","","","","","[0,1]","0","0","2172","0","[1920,1080]","1","[0,1]","1","1","1198","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","6","false","[0.682,0.475,0.347,0.386]","0","0",""
"","","","","","two-step-trial","39","552135","0.0-11.0-0.0","","","","","","","","","[0,1]","1","1","1534","1","[1920,1080]","1","[0,1]","1","1","1202","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","7","false","[0.65,0.473,0.346,0.344]","0","0",""
"","","","","","two-step-trial","40","556413","0.0-12.0-0.0","","","","","","","","","[0,1]","1","1","970","1","[1920,1080]","1","[0,1]","1","1","1295","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","8","false","[0.637,0.456,0.371,0.318]","0","0",""
"","","","","","two-step-trial","41","560760","0.0-13.0-0.0","","","","","","","","","[0,1]","1","1","1042","0","[1920,1080]","1","[0,1]","1","1","1290","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","9","false","[0.637,0.443,0.354,0.311]","0","0",""
"","","","","","two-step-trial","42","564528","0.0-14.0-0.0","","","","","","","","","[0,1]","1","1","888","0","[1920,1080]","1","[0,1]","1","1","872","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","10","false","[0.63,0.435,0.315,0.32]","0","0",""
"","","","","","two-step-trial","43","569696","0.0-15.0-0.0","","","","","","","","","[2,3]","1","3","2109","0","[1920,1080]","1","[0,1]","1","1","1046","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","11","false","[0.599,0.48,0.291,0.32]","0","0",""
"","","","","","two-step-trial","44","574455","0.0-16.0-0.0","","","","","","","","","[2,3]","0","2","1983","1","[1920,1080]","1","[0,1]","1","1","767","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","12","false","[0.573,0.445,0.3,0.33]","0","0",""
"","","","","","two-step-trial","45","578694","0.0-17.0-0.0","","","","","","","","","[2,3]","0","2","812","1","[1920,1080]","1","[0,1]","1","1","1414","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","13","false","[0.6,0.4,0.3,0.32]","0","0",""
"","","","","","two-step-trial","46","583680","0.0-18.0-0.0","","","","","","","","","[0,1]","0","0","1650","1","[1920,1080]","1","[0,1]","1","1","1321","0","0","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","14","false","[0.601,0.428,0.308,0.274]","0","0",""
"","","","","","two-step-trial","47","588320","0.0-19.0-0.0","","","","","","","","","[2,3]","0","2","1435","1","[1920,1080]","1","[0,1]","1","1","1190","1","1","[""#955db9"",""#48a782""]","[""#7f5d5d"",""#5f6f81""]","15","false","[0.588,0.441,0.345,0.295]","0","0",""
