"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","141","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4988","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","9934","0.0-2.0","4941","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","32740","0.0-4.0","22803","","","[{""page_index"":0,""viewing_time"":6095},{""page_index"":1,""viewing_time"":8436},{""page_index"":2,""viewing_time"":8271}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","38300","0.0-5.0-0.0","","","","","[0,1]","1","1","1442","1","1","[2,3]","1","3","2106","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","1","[0.6,0.51,0.387,0.388]","0","0","false","","",""
"","","","","","two-step-trial","5","42504","0.0-6.0-0.0","","","","","[0,1]","1","1","1266","0","0","[0,1]","1","1","922","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","2","[0.6,0.49,0.376,0.364]","0","0","false","","",""
"","","","","","two-step-trial","6","48160","0.0-7.0-0.0","","","","","[0,1]","1","1","1894","1","1","[2,3]","1","3","1749","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","3","[0.612,0.488,0.376,0.385]","0","0","false","","",""
"","","","","","two-step-trial","7","53224","0.0-8.0-0.0","","","","","[0,1]","1","1","1143","1","1","[2,3]","1","3","1905","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","4","[0.659,0.517,0.37,0.352]","0","0","false","","",""
"","","","","","two-step-trial","8","57776","0.0-9.0-0.0","","","","","[0,1]","1","1","1310","0","0","[0,1]","0","0","1226","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","5","[0.676,0.497,0.349,0.378]","0","0","false","","",""
"","","","","","two-step-trial","9","62808","0.0-10.0-0.0","","","","","[0,1]","1","1","1102","0","0","[0,1]","1","1","1914","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1920,1080]","1","6","[0.682,0.475,0.347,0.386]","0","0","false","","",""
