"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","204","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4944","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","8387","0.0-2.0","3441","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","19080","0.0-4.0","10689","","","[{""page_index"":0,""viewing_time"":6947},{""page_index"":1,""viewing_time"":2187},{""page_index"":2,""viewing_time"":1555}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","23354","0.0-5.0-0.0","","","","","[0,1]","0","0","1417","0","1","[2,3]","0","2","832","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","1","[0.305,0.438,0.598,0.713]","3","0","false","","",""
"","","","","","two-step-trial","5","26096","0.0-6.0-0.0","","","","","[0,1]","0","0","312","0","1","[2,3]","0","2","399","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","2","[0.326,0.396,0.598,0.702]","3","0","false","","",""
"","","","","","two-step-trial","6","29146","0.0-7.0-0.0","","","","","[0,1]","0","0","394","1","0","[0,1]","1","1","638","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","3","[0.302,0.426,0.576,0.736]","3","0","false","","",""
"","","","","","two-step-trial","7","31945","0.0-8.0-0.0","","","","","[0,1]","0","0","233","1","0","[0,1]","1","1","540","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","4","[0.362,0.43,0.582,0.702]","3","0","false","","",""
"","","","","","two-step-trial","8","34653","0.0-9.0-0.0","","","","","[0,1]","0","0","246","1","0","[0,1]","0","0","443","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","5","[0.368,0.485,0.615,0.711]","3","0","false","","",""
"","","","","","two-step-trial","9","37195","0.0-10.0-0.0","","","","","[0,1]","0","0","228","1","0","[0,1]","0","0","287","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","6","[0.404,0.486,0.616,0.744]","3","0","false","","",""
"","","","","","two-step-trial","10","39766","0.0-11.0-0.0","","","","","[0,1]","0","0","254","0","1","[2,3]","0","2","299","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","7","[0.387,0.453,0.558,0.725]","3","0","false","","",""
"","","","","","two-step-trial","11","42509","0.0-12.0-0.0","","","","","[0,1]","0","0","305","1","0","[0,1]","0","0","411","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","8","[0.438,0.474,0.539,0.737]","3","0","false","","",""
"","","","","","two-step-trial","12","45501","0.0-13.0-0.0","","","","","[0,1]","1","1","357","1","1","[2,3]","0","2","612","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","9","[0.459,0.489,0.53,0.714]","3","0","false","","",""
"","","","","","two-step-trial","13","48643","0.0-14.0-0.0","","","","","[0,1]","1","1","65","1","1","[2,3]","0","2","1058","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","10","[0.45,0.506,0.534,0.707]","3","0","false","","",""
"","","","","","two-step-trial","14","51517","0.0-15.0-0.0","","","","","[0,1]","1","1","228","0","0","[0,1]","1","1","622","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","11","[0.425,0.476,0.477,0.71]","3","0","false","","",""
"","","","","","two-step-trial","15","54150","0.0-16.0-0.0","","","","","[0,1]","1","1","228","1","1","[2,3]","0","2","383","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","12","[0.397,0.483,0.492,0.681]","3","0","false","","",""
"","","","","","two-step-trial","16","56788","0.0-17.0-0.0","","","","","[0,1]","1","1","218","1","1","[2,3]","0","2","401","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","13","[0.407,0.496,0.476,0.697]","3","0","false","","",""
"","","","","","two-step-trial","17","59671","0.0-18.0-0.0","","","","","[0,1]","1","1","215","0","0","[0,1]","1","1","639","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","14","[0.369,0.494,0.493,0.747]","3","0","false","","",""
"","","","","","two-step-trial","18","62297","0.0-19.0-0.0","","","","","[0,1]","1","1","260","1","1","[2,3]","0","2","345","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","15","[0.342,0.537,0.465,0.735]","3","0","false","","",""
"","","","","","two-step-trial","19","65122","0.0-20.0-0.0","","","","","[0,1]","0","0","331","1","0","[0,1]","1","1","473","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","16","[0.313,0.512,0.467,0.743]","3","0","false","","",""
"","","","","","two-step-trial","20","68139","0.0-21.0-0.0","","","","","[0,1]","0","0","55","0","1","[2,3]","0","2","937","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","17","[0.313,0.504,0.486,0.73]","3","0","false","","",""
"","","","","","two-step-trial","21","70663","0.0-22.0-0.0","","","","","[0,1]","1","1","116","0","0","[0,1]","1","1","380","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","18","[0.334,0.526,0.501,0.707]","3","0","false","","",""
"","","","","","two-step-trial","22","73515","0.0-23.0-0.0","","","","","[0,1]","0","0","231","1","0","[0,1]","1","1","596","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","19","[0.312,0.543,0.473,0.695]","3","0","false","","",""
"","","","","","two-step-trial","23","76513","0.0-24.0-0.0","","","","","[0,1]","1","1","231","0","0","[0,1]","1","1","738","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","20","[0.304,0.536,0.482,0.668]","3","0","false","","",""
"","","","","","two-step-trial","24","79193","0.0-25.0-0.0","","","","","[0,1]","1","1","164","0","0","[0,1]","1","1","496","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","21","[0.309,0.543,0.477,0.682]","3","0","false","","",""
"","","","","","two-step-trial","25","81686","0.0-26.0-0.0","","","","","[0,1]","1","1","159","1","1","[2,3]","1","3","311","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1280,720]","1","22","[0.301,0.563,0.45,0.702]","3","0","false","","",""
