"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","147","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4537","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","10140","0.0-2.0","5601","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","31417","0.0-3.0-0.0-1.0","21273","","","[{""page_index"":0,""viewing_time"":3666},{""page_index"":1,""viewing_time"":2386},{""page_index"":2,""viewing_time"":1489},{""page_index"":3,""viewing_time"":1637},{""page_index"":4,""viewing_time"":1940},{""page_index"":5,""viewing_time"":1117},{""page_index"":6,""viewing_time"":967},{""page_index"":7,""viewing_time"":2341},{""page_index"":8,""viewing_time"":1866},{""page_index"":9,""viewing_time"":2657},{""page_index"":10,""viewing_time"":1207}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","39427","0.0-3.0-0.0-2.0","8005","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","42531","0.0-3.0-1.0-0.0-0.0","3100","","","[{""page_index"":0,""viewing_time"":3100}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","46413","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","1655","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","49101","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","466","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","51825","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","504","0","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","54383","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","338","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","58558","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","1951","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","61078","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","303","1","[1280,720]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","12","76981","0.0-3.0-2.0-1.0","15897","","","[{""page_index"":0,""viewing_time"":3586},{""page_index"":1,""viewing_time"":2344},{""page_index"":2,""viewing_time"":2187},{""page_index"":3,""viewing_time"":2857},{""page_index"":4,""viewing_time"":215},{""page_index"":5,""viewing_time"":876},{""page_index"":4,""viewing_time"":2075},{""page_index"":5,""viewing_time"":1756}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","13","82533","0.0-3.0-2.0-2.0","5543","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","14","91124","0.0-3.0-3.0-0.0","8589","","","[{""page_index"":0,""viewing_time"":4404},{""page_index"":1,""viewing_time"":1662},{""page_index"":2,""viewing_time"":2522}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","15","95836","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[0,1]","0","0","1310","1","[1280,720]","1","[0,1]","0","0","1389","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","16","100399","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[0,1]","0","0","541","0","[1280,720]","1","[0,1]","0","0","1990","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","17","104224","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[2,3]","0","2","372","0","[1280,720]","1","[0,1]","0","0","1434","0","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","18","108563","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[2,3]","1","3","1130","1","[1280,720]","1","[0,1]","0","0","1184","0","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","19","111462","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[0,1]","0","0","452","0","[1280,720]","1","[0,1]","0","0","414","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","20","115002","0.0-3.0-3.0-1.0-0.5","","","","","","","","","[0,1]","0","0","844","0","[1280,720]","1","[0,1]","0","0","671","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","21","118243","0.0-3.0-3.0-1.0-0.6","","","","","","","","","[0,1]","1","1","559","0","[1280,720]","1","[0,1]","0","0","666","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","22","121058","0.0-3.0-3.0-1.0-0.7","","","","","","","","","[0,1]","1","1","456","0","[1280,720]","1","[0,1]","0","0","345","1","0","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","23","123915","0.0-3.0-3.0-1.0-0.8","","","","","","","","","[2,3]","0","2","410","1","[1280,720]","1","[0,1]","1","1","408","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","24","126760","0.0-3.0-3.0-1.0-0.9","","","","","","","","","[2,3]","0","2","464","0","[1280,720]","1","[0,1]","1","1","352","1","1","[""#486ea7"",""#a75248""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-instructions","25","149066","0.0-3.0-4.0-1.0","22301","","","[{""page_index"":0,""viewing_time"":3670},{""page_index"":1,""viewing_time"":1881},{""page_index"":2,""viewing_time"":1088},{""page_index"":3,""viewing_time"":1997},{""page_index"":4,""viewing_time"":6864},{""page_index"":5,""viewing_time"":4212},{""page_index"":6,""viewing_time"":2589}]","","","","","","","","","","","","","","","","","","","","","","","","",""
