"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","260","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3579","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","22873","0.0-2.0","19290.799999952316","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","79651","0.0-3.0-0.0-1.0","56777.10000002384","","","[{""page_index"":0,""viewing_time"":35718.300000071526},{""page_index"":1,""viewing_time"":2517.0999999046326},{""page_index"":2,""viewing_time"":1834},{""page_index"":3,""viewing_time"":4144},{""page_index"":4,""viewing_time"":1189.2000000476837},{""page_index"":5,""viewing_time"":624.7999999523163},{""page_index"":6,""viewing_time"":539.1000000238419},{""page_index"":7,""viewing_time"":3312.899999976158},{""page_index"":8,""viewing_time"":3295.4000000953674},{""page_index"":9,""viewing_time"":1743.5999999046326},{""page_index"":10,""viewing_time"":1858.3000000715256}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","92518","0.0-3.0-0.0-2.0","12864.899999976158","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","98495","0.0-3.0-1.0-0.0-0.0","5973.199999928474","","","[{""page_index"":0,""viewing_time"":5972.899999976158}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","106712","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","1","1","6006.400000095367","1","[1680,939]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","109309","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","386.5","0","[1680,939]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","111843","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","1","1","322.10000002384186","1","[1680,939]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","114490","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","438.59999990463257","1","[1680,939]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","117099","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","397.60000002384186","1","[1680,939]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","11","141702","0.0-3.0-2.0-1.0","24600.600000023842","","","[{""page_index"":0,""viewing_time"":3766.9000000953674},{""page_index"":1,""viewing_time"":1152.3999999761581},{""page_index"":2,""viewing_time"":1647.7999999523163},{""page_index"":3,""viewing_time"":7320.600000023842},{""page_index"":4,""viewing_time"":6431.600000023842},{""page_index"":5,""viewing_time"":4281}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","12","149668","0.0-3.0-2.0-2.0","7964.5","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","13","164523","0.0-3.0-3.0-0.0","14852.300000071526","","","[{""page_index"":0,""viewing_time"":4544.5},{""page_index"":1,""viewing_time"":2040.1000000238419},{""page_index"":2,""viewing_time"":8267.300000071526}]","","","","","","","","","","","","","","","","","","","","","","","","",""
