"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","182","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3872","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","11570","0.0-2.0","7696.799999952316","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","100166","0.0-3.0-0.0-1.0","88594.09999996424","","","[{""page_index"":0,""viewing_time"":8353.599999964237},{""page_index"":1,""viewing_time"":6321.5},{""page_index"":2,""viewing_time"":3487.699999988079},{""page_index"":3,""viewing_time"":34272.200000047684},{""page_index"":4,""viewing_time"":5748.399999976158},{""page_index"":5,""viewing_time"":3506.100000023842},{""page_index"":6,""viewing_time"":2369.099999964237},{""page_index"":7,""viewing_time"":4307.800000011921},{""page_index"":8,""viewing_time"":5879.100000023842},{""page_index"":9,""viewing_time"":11434.5},{""page_index"":10,""viewing_time"":2913.5}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","126109","0.0-3.0-0.0-2.0","25941","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","138948","0.0-3.0-1.0-0.0-0.0","12836","","","[{""page_index"":0,""viewing_time"":12835.800000011921}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","146529","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","5374.399999976158","0","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","150790","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","2056","0","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","156507","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","3511","0","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","167688","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","0","0","8974.599999964237","0","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","10","173005","0.0-3.0-1.0-5.0-0.0","","","","","","","","","[0,1]","1","1","3110.5","1","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","11","178160","0.0-3.0-1.0-6.0-0.0","","","","","","","","","[0,1]","1","1","2950.199999988079","1","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","12","182624","0.0-3.0-1.0-7.0-0.0","","","","","","","","","[0,1]","1","1","2255.399999976158","1","[1680,1050]","1","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","13","221045","0.0-3.0-2.0-1.0","38419.69999998808","","","[{""page_index"":0,""viewing_time"":7150.100000023842},{""page_index"":1,""viewing_time"":2461.199999988079},{""page_index"":2,""viewing_time"":5078.899999976158},{""page_index"":3,""viewing_time"":16151.900000035763},{""page_index"":4,""viewing_time"":5410},{""page_index"":5,""viewing_time"":2167.2999999523163}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","14","230373","0.0-3.0-2.0-2.0","9326.100000023842","","","","[""left/right arrow keys"",""False"",""True""]","0","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","15","270769","0.0-3.0-3.0-0.0","40393.69999998808","","","[{""page_index"":0,""viewing_time"":24704.80000001192},{""page_index"":1,""viewing_time"":4795.5},{""page_index"":2,""viewing_time"":10893.199999988079}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","16","276356","0.0-3.0-3.0-1.0-0.0","","","","","","","","","[0,1]","1","1","2020.2000000476837","0","[1680,1050]","1","[0,1]","1","1","1556.9000000357628","0","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","17","282673","0.0-3.0-3.0-1.0-0.1","","","","","","","","","[0,1]","1","1","1100.699999988079","0","[1680,1050]","1","[0,1]","0","0","3208.300000011921","1","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","18","287096","0.0-3.0-3.0-1.0-0.2","","","","","","","","","[0,1]","1","1","490.60000002384186","0","[1680,1050]","1","[0,1]","0","0","1924.800000011921","1","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","19","290086","0.0-3.0-3.0-1.0-0.3","","","","","","","","","[0,1]","1","1","475.4000000357628","0","[1680,1050]","1","[0,1]","1","1","507.39999997615814","0","0","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
"","","","","","two-step-trial","20","296350","0.0-3.0-3.0-1.0-0.4","","","","","","","","","[2,3]","1","3","3243.5","1","[1680,1050]","1","[0,1]","1","1","1013.7000000476837","1","1","[""#a75248"",""#486ea7""]","[""#5b7c65"",""#706081""]","0","false","","","",""
