"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","responses","num_errors","quiz","phase","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","screen_resolution","minimum_resolution","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","rocket_colors","planet_colors","trial","missing","drifts","drift_ix","browser_interactions","interactions"
"true","false","[]","[]","[]","preload","0","162","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5184","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","7901","0.0-2.0","2715","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","38595","0.0-3.0-0.0-1.0","30689","","","[{""page_index"":0,""viewing_time"":2606},{""page_index"":1,""viewing_time"":2313},{""page_index"":2,""viewing_time"":1916},{""page_index"":3,""viewing_time"":3782},{""page_index"":4,""viewing_time"":4606},{""page_index"":5,""viewing_time"":1021},{""page_index"":6,""viewing_time"":797},{""page_index"":7,""viewing_time"":1594},{""page_index"":8,""viewing_time"":6585},{""page_index"":9,""viewing_time"":3407},{""page_index"":10,""viewing_time"":2062}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-comprehension","4","48993","0.0-3.0-0.0-2.0","10389","","","","[""left/right arrow keys"",""True"",""True""]","0","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","5","55960","0.0-3.0-1.0-0.0-0.0","6959","","","[{""page_index"":0,""viewing_time"":6959}]","","","","instructions_1b","","","","","","","","","","","","","","","","","","","","",""
"","","","","","alien-practice","6","59426","0.0-3.0-1.0-1.0-0.0","","","","","","","","","[0,1]","0","0","1260","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","7","62801","0.0-3.0-1.0-2.0-0.0","","","","","","","","","[0,1]","1","1","1169","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","8","65538","0.0-3.0-1.0-3.0-0.0","","","","","","","","","[0,1]","0","0","533","0","[1920,1080]","1","","","","","","","","","","","","","",""
"","","","","","alien-practice","9","68048","0.0-3.0-1.0-4.0-0.0","","","","","","","","","[0,1]","1","1","305","1","[1920,1080]","1","","","","","","","","","","","","","",""
