"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","state_1_ids","state_1_key","state_1_choice","state_1_rt","transition","state","state_2_ids","state_2_key","state_2_choice","state_2_rt","outcome","rocket_colors","planet_colors","screen_resolution","minimum_resolution","trial","drifts","drift_ix","browser_interactions","missing","responses","num_errors","interactions"
"true","false","[]","[]","[]","preload","0","142","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3348","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","7220","0.0-2.0","3870","<p>You are starting a demo of the <b>two-step task.</b></p><p>To see the instructions, press the ""1"" key. To skip them, press the ""2"" key.</p>","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-instructions","3","15153","0.0-4.0","7929","","","[{""page_index"":0,""viewing_time"":2552},{""page_index"":1,""viewing_time"":1927},{""page_index"":2,""viewing_time"":3450}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","4","29135","0.0-5.0-0.0","","","","","[0,1]","1","1","9314","1","1","[2,3]","0","2","2663","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[932,968]","1","1","[0.6,0.51,0.387,0.388]","0","0","false","","",""
"","","","","","two-step-trial","5","34920","0.0-6.0-0.0","","","","","[0,1]","0","0","1878","1","0","[0,1]","0","0","1903","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[932,968]","1","2","[0.6,0.49,0.376,0.364]","0","0","false","","",""
"","","","","","two-step-trial","6","44734","0.0-7.0-0.0","","","","","[0,1]","1","1","2046","0","0","[0,1]","0","0","5765","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[932,968]","1","3","[0.612,0.488,0.376,0.385]","0","0","false","","",""
"","","","","","two-step-trial","7","50234","0.0-8.0-0.0","","","","","[0,1]","0","0","1718","1","0","[0,1]","0","0","1778","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","4","[0.659,0.517,0.37,0.352]","0","0","false","","",""
"","","","","","two-step-trial","8","58000","0.0-9.0-0.0","","","","","[0,1]","0","0","1763","0","1","[2,3]","0","2","3999","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","5","[0.676,0.497,0.349,0.378]","0","0","false","","",""
"","","","","","two-step-trial","9","64868","0.0-10.0-0.0","","","","","[0,1]","0","0","3199","1","0","[0,1]","0","0","1664","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","6","[0.682,0.475,0.347,0.386]","0","0","false","","",""
"","","","","","two-step-trial","10","70119","0.0-11.0-0.0","","","","","[0,1]","0","0","1746","1","0","[0,1]","0","0","1500","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","7","[0.65,0.473,0.346,0.344]","0","0","false","","",""
"","","","","","two-step-trial","11","76468","0.0-12.0-0.0","","","","","[0,1]","0","0","1715","1","0","[0,1]","0","0","2630","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","8","[0.637,0.456,0.371,0.318]","0","0","false","","",""
"","","","","","two-step-trial","12","84000","0.0-13.0-0.0","","","","","[0,1]","0","0","3464","1","0","[0,1]","0","0","2065","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","9","[0.637,0.443,0.354,0.311]","0","0","false","","",""
"","","","","","two-step-trial","13","86698","0.0-14.0-0.0","","","","","[0,1]","0","0","287","0","1","[2,3]","0","2","405","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","10","[0.63,0.435,0.315,0.32]","0","0","false","","",""
"","","","","","two-step-instructions","14","92039","0.0-15.0","5339","","","[{""page_index"":0,""viewing_time"":3818},{""page_index"":1,""viewing_time"":1520}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","two-step-trial","15","96402","0.0-16.0-0.0","","","","","[0,1]","0","0","1889","1","0","[0,1]","0","0","469","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","11","[0.599,0.48,0.291,0.32]","0","0","false","","",""
"","","","","","two-step-trial","16","99208","0.0-17.0-0.0","","","","","[0,1]","0","0","392","1","0","[0,1]","0","0","409","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","12","[0.573,0.445,0.3,0.33]","0","0","false","","",""
"","","","","","two-step-trial","17","101937","0.0-18.0-0.0","","","","","[0,1]","1","1","297","0","0","[0,1]","0","0","429","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","13","[0.6,0.4,0.3,0.32]","0","0","false","","",""
"","","","","","two-step-trial","18","104755","0.0-19.0-0.0","","","","","[0,1]","1","1","390","0","0","[0,1]","0","0","425","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","14","[0.601,0.428,0.308,0.274]","0","0","false","","",""
"","","","","","two-step-trial","19","107547","0.0-20.0-0.0","","","","","[0,1]","1","1","359","0","0","[0,1]","0","0","429","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","15","[0.588,0.441,0.345,0.295]","0","0","false","","",""
"","","","","","two-step-trial","20","110447","0.0-21.0-0.0","","","","","[0,1]","1","1","452","1","1","[2,3]","0","2","444","1","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","16","[0.641,0.463,0.39,0.301]","0","0","false","","",""
"","","","","","two-step-trial","21","113127","0.0-22.0-0.0","","","","","[0,1]","1","1","304","1","1","[2,3]","0","2","372","0","[""#955db9"",""#48a782""]","[""#5f6f81"",""#7f5d5d""]","[1864,968]","1","17","[0.649,0.465,0.413,0.325]","0","0","false","","",""
